picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Ursache,,1,Carcassonne
1.5,150,270,275,155,Carbou,,2,Carcassonne
1.5,45,270,275,265,Azar,,3,Carcassonne
1.5,200,225,225,110,"Van der Merwe",,4,Carcassonne
1.5,100,225,225,200,Manchia,,5,Carcassonne
1.5,250,180,185,35,Doumenc,,6,Carcassonne
1.5,45,180,185,279,Huguet,,7,Carcassonne
1.5,150,180,185,155,Agaba,,8,Carcassonne
1.5,205,135,135,75,Pichon,,9,Carcassonne
1.5,90,135,135,240,Marquès,(C),10,Carcassonne
1.5,275,90,85,15,Dulon,,11,Carcassonne
1.5,195,90,85,110,Martocq,,12,Carcassonne
1.5,100,90,85,205,Puletua,,13,Carcassonne
1.5,25,90,85,300,Lazzarotto,,14,Carcassonne
1.5,150,50,40,155,Tui,,15,Carcassonne
1.5,45,315,355,265,Vanaï,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Maravat,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Duputs,(C),6,Agen
1.5,250,405,450,35,Gérondeau,,7,Agen
1.5,150,405,450,155,Nollet,,8,Agen
1.5,90,450,500,240,Graou,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Gailleton,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Tolot,,15,Agen
