picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Ursache,,1,Carcassonne
1.5,150,270,275,155,Sauveterre,,2,Carcassonne
1.5,45,270,275,265,Azar,,3,Carcassonne
1.5,200,225,225,110,Manchia,,4,Carcassonne
1.5,100,225,225,200,Landman,,5,Carcassonne
1.5,250,180,185,35,Doumenc,(C),6,Carcassonne
1.5,45,180,185,279,Huguet,,7,Carcassonne
1.5,150,180,185,155,Agaba,,8,Carcassonne
1.5,205,135,135,75,Marques,,9,Carcassonne
1.5,90,135,135,240,McPhillips,,10,Carcassonne
1.5,275,90,85,15,Marty,,11,Carcassonne
1.5,195,90,85,110,Martocq,,12,Carcassonne
1.5,100,90,85,205,Dulon,,13,Carcassonne
1.5,25,90,85,300,Lazzarotto,,14,Carcassonne
1.5,150,50,40,155,Gianet,,15,Carcassonne
1.5,45,315,355,265,Boniface,,1,Bayonne
1.5,150,315,355,155,Ulugia,,2,Bayonne
1.5,250,315,355,50,Mousset,,3,Bayonne
1.5,200,360,405,200,Galarza,(C),4,Bayonne
1.5,100,360,405,110,Marchois,,5,Bayonne
1.5,45,405,450,279,Luamanu,,6,Bayonne
1.5,250,405,450,35,Heguy,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Venter,,9,Bayonne
1.5,205,450,500,75,Dolhagarray,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,Toeava,,12,Bayonne
1.5,200,495,545,110,David,,13,Bayonne
1.5,275,495,545,15,Ravouvou,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
