picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tichit,,1,Castres
1.5,150,270,275,155,Barlot,,2,Castres
1.5,45,270,275,265,Hounkpatin,,3,Castres
1.5,200,225,225,110,Pieterse,,4,Castres
1.5,100,225,225,200,Staniforth,(C),5,Castres
1.5,250,180,185,35,Usarraga,,6,Castres
1.5,45,180,185,279,Delaporte,,7,Castres
1.5,150,180,185,155,Ardron,,8,Castres
1.5,205,135,135,75,Doubrère,,9,Castres
1.5,90,135,135,240,Urdapilleta,,10,Castres
1.5,275,90,85,15,Nakosi,,11,Castres
1.5,195,90,85,110,Botitu,,12,Castres
1.5,100,90,85,205,Cocagi,,13,Castres
1.5,25,90,85,300,Palis,,14,Castres
1.5,150,50,40,155,Dumora,,15,Castres
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Bosch,,2,Bayonne
1.5,250,315,355,50,Scholtz,,3,Bayonne
1.5,200,360,405,200,Ceyte,,4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Huguet,,6,Bayonne
1.5,250,405,450,35,Noa,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Machenaud,(C),9,Bayonne
1.5,205,450,500,75,Robertson,,10,Bayonne
1.5,25,495,545,300,Rasaku,,11,Bayonne
1.5,105,495,545,205,David,,12,Bayonne
1.5,200,495,545,110,Muscarditz,,13,Bayonne
1.5,275,495,545,15,Hannoun,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
