picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tichit,,1,Castres
1.5,150,270,275,155,Barlot,,2,Castres
1.5,45,270,275,265,Hounkpatin,,3,Castres
1.5,200,225,225,110,Vanverberghe,,4,Castres
1.5,100,225,225,200,Staniforth,,5,Castres
1.5,250,180,185,35,Babillot,(C),6,Castres
1.5,45,180,185,279,Ardron,,7,Castres
1.5,150,180,185,155,"Ben Nicholas",,8,Castres
1.5,205,135,135,75,Kockott,,9,Castres
1.5,90,135,135,240,Botica,,10,Castres
1.5,275,90,85,15,Nakosi,,11,Castres
1.5,195,90,85,110,Botitu,,12,Castres
1.5,100,90,85,205,Combezou,,13,Castres
1.5,25,90,85,300,Palis,,14,Castres
1.5,150,50,40,155,Dumora,,15,Castres
1.5,45,315,355,265,Poirot,(C),1,Bordeaux-Bègles
1.5,150,315,355,155,Dimcheff,,2,Bordeaux-Bègles
1.5,250,315,355,50,Kaulashvili,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Jolmes,,5,Bordeaux-Bègles
1.5,45,405,450,279,Woki,,6,Bordeaux-Bègles
1.5,250,405,450,35,Vergnes,,7,Bordeaux-Bègles
1.5,150,405,450,155,Roumat,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Trinh-Duc,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Lamerat,,12,Bordeaux-Bègles
1.5,200,495,545,110,Moefana,,13,Bordeaux-Bègles
1.5,275,495,545,15,Mori,,14,Bordeaux-Bègles
1.5,150,535,590,155,Buros,,15,Bordeaux-Bègles
