picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Walcker,,1,Castres
1.5,150,270,275,155,Barlot,,2,Castres
1.5,45,270,275,265,Hounkpatin,,3,Castres
1.5,200,225,225,110,Vanverberghe,,4,Castres
1.5,100,225,225,200,Staniforth,,5,Castres
1.5,250,180,185,35,Babillot,(C),6,Castres
1.5,45,180,185,279,"de Crespigny",,7,Castres
1.5,150,180,185,155,Nicholas,,8,Castres
1.5,205,135,135,75,Arata,,9,Castres
1.5,90,135,135,240,Urdapilleta,,10,Castres
1.5,275,90,85,15,Nakosi,,11,Castres
1.5,195,90,85,110,Botitu,,12,Castres
1.5,100,90,85,205,Combezou,,13,Castres
1.5,25,90,85,300,Palis,,14,Castres
1.5,150,50,40,155,Dumora,,15,Castres
1.5,45,315,355,265,Lamositele,,1,Montpellier
1.5,150,315,355,155,Guirado,,2,Montpellier
1.5,250,315,355,50,Haouas,,3,Montpellier
1.5,200,360,405,200,Verhaeghe,,4,Montpellier
1.5,100,360,405,110,Chalureau,,5,Montpellier
1.5,45,405,450,279,Bécognée,,6,Montpellier
1.5,250,405,450,35,Camara,(C),7,Montpellier
1.5,150,405,450,155,Mercer,,8,Montpellier
1.5,90,450,500,240,Paillaugue,,9,Montpellier
1.5,205,450,500,75,Garbisi,,10,Montpellier
1.5,25,495,545,300,Rattez,,11,Montpellier
1.5,105,495,545,205,Serfontein,,12,Montpellier
1.5,200,495,545,110,Doumayrou,,13,Montpellier
1.5,275,495,545,15,Vincent,,14,Montpellier
1.5,150,535,590,155,Bouthier,,15,Montpellier
