picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Falgoux,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Simutoga,,3,Clermont
1.5,200,225,225,110,Jedrasiak,,4,Clermont
1.5,100,225,225,200,Vahaamahina,,5,Clermont
1.5,250,180,185,35,Lanen,,6,Clermont
1.5,45,180,185,279,Tixeront,,7,Clermont
1.5,150,180,185,155,Godener,,8,Clermont
1.5,205,135,135,75,Bézy,,9,Clermont
1.5,90,135,135,240,Belleau,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Hériteau,,12,Clermont
1.5,100,90,85,205,Ezeala,,13,Clermont
1.5,25,90,85,300,"O\'Connor",,14,Clermont
1.5,150,50,40,155,Tiberghien,,15,Clermont
1.5,45,315,355,265,Perchaud,,1,Bayonne
1.5,150,315,355,155,"Van Jaarsveld",,2,Bayonne
1.5,250,315,355,50,Scholtz,,3,Bayonne
1.5,200,360,405,200,Marchois,(C),4,Bayonne
1.5,100,360,405,110,Ceyte,,5,Bayonne
1.5,45,405,450,279,Huguet,,6,Bayonne
1.5,250,405,450,35,Heguy,,7,Bayonne
1.5,150,405,450,155,Noa,,8,Bayonne
1.5,90,450,500,240,Ruru,,9,Bayonne
1.5,205,450,500,75,Robertson,,10,Bayonne
1.5,25,495,545,300,Hannoun,,11,Bayonne
1.5,105,495,545,205,Buliruarua,,12,Bayonne
1.5,200,495,545,110,Muscarditz,,13,Bayonne
1.5,275,495,545,15,Pourailly,,14,Bayonne
1.5,150,535,590,155,Orabé,,15,Bayonne
