picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Ravai,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Ojovan,,3,Clermont
1.5,200,225,225,110,Lanen,,4,Clermont
1.5,100,225,225,200,Vahaamahina,(C),5,Clermont
1.5,250,180,185,35,Cancoriet,,6,Clermont
1.5,45,180,185,279,Yato,,7,Clermont
1.5,150,180,185,155,Lee,,8,Clermont
1.5,205,135,135,75,Bézy,,9,Clermont
1.5,90,135,135,240,Lopez,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Vili,,12,Clermont
1.5,100,90,85,205,Moala,,13,Clermont
1.5,25,90,85,300,Penaud,,14,Clermont
1.5,150,50,40,155,Matsushima,,15,Clermont
1.5,45,315,355,265,Wardi,,1,"La Rochelle"
1.5,150,315,355,155,Bourgarit,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Sazy,,4,"La Rochelle"
1.5,100,360,405,110,Tanguy,,5,"La Rochelle"
1.5,45,405,450,279,Liebenberg,,6,"La Rochelle"
1.5,250,405,450,35,Bourdeau,,7,"La Rochelle"
1.5,150,405,450,155,Alldritt,(C),8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Plisson,,10,"La Rochelle"
1.5,25,495,545,300,Favre,,11,"La Rochelle"
1.5,105,495,545,205,Botia,,12,"La Rochelle"
1.5,200,495,545,110,Rhule,,13,"La Rochelle"
1.5,275,495,545,15,Leyds,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
