picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Falgoux,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Ojovan,,3,Clermont
1.5,200,225,225,110,Amatosero,,4,Clermont
1.5,100,225,225,200,Vahaamahina,,5,Clermont
1.5,250,180,185,35,Iturria,(C),6,Clermont
1.5,45,180,185,279,Cancoriet,,7,Clermont
1.5,150,180,185,155,Lee,,8,Clermont
1.5,205,135,135,75,Bézy,,9,Clermont
1.5,90,135,135,240,Belleau,,10,Clermont
1.5,275,90,85,15,Raka,,11,Clermont
1.5,195,90,85,110,Simone,,12,Clermont
1.5,100,90,85,205,Moala,,13,Clermont
1.5,25,90,85,300,Penaud,,14,Clermont
1.5,150,50,40,155,Newsome,,15,Clermont
1.5,45,315,355,265,Sénéca,,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Tokolahi,,3,Pau
1.5,200,360,405,200,Cummins,,4,Pau
1.5,100,360,405,110,Metz,,5,Pau
1.5,45,405,450,279,Puech,,6,Pau
1.5,250,405,450,35,Whitelock,(C),7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Henry,,10,Pau
1.5,25,495,545,300,Maddocks,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Roudil,,13,Pau
1.5,275,495,545,15,Colombet,,14,Pau
1.5,150,535,590,155,Laporte,,15,Pau
