picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Djehi,,1,Colomiers
1.5,150,270,275,155,Saaidia,,2,Colomiers
1.5,45,270,275,265,Palma-Newport,,3,Colomiers
1.5,200,225,225,110,Thomas,,4,Colomiers
1.5,100,225,225,200,Granouillet,,5,Colomiers
1.5,250,180,185,35,Coletta,,6,Colomiers
1.5,45,180,185,279,Macovei,(C),7,Colomiers
1.5,150,180,185,155,Lescure,,8,Colomiers
1.5,205,135,135,75,"(m) Gori",,9,Colomiers
1.5,90,135,135,240,"(o) Javaux",,10,Colomiers
1.5,275,90,85,15,Palisson,,11,Colomiers
1.5,195,90,85,110,Nicot,,12,Colomiers
1.5,100,90,85,205,Deysel,,13,Colomiers
1.5,25,90,85,300,Rokoduguni,,14,Colomiers
1.5,150,50,40,155,Girard,,15,Colomiers
1.5,45,315,355,265,Falatea,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Burin,,3,Agen
1.5,200,360,405,200,Maravat,,4,Agen
1.5,100,360,405,110,Salmon,,5,Agen
1.5,45,405,450,279,Duputs,,6,Agen
1.5,250,405,450,35,Bonnet,,7,Agen
1.5,150,405,450,155,Devergie,(C),8,Agen
1.5,90,450,500,240,"(m) Bellot",,9,Agen
1.5,205,450,500,75,"(o) Vincent",,10,Agen
1.5,25,495,545,300,Joseph,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Sloan,,13,Agen
1.5,275,495,545,15,Gauban,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
