picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Deshayes,,1,France
1.5,150,270,275,155,Sochat,,2,France
1.5,45,270,275,265,Joyeux,,3,France
1.5,200,225,225,110,Fall,,4,France
1.5,100,225,225,200,Forlani,,5,France
1.5,250,180,185,35,Ferer,,6,France
1.5,45,180,185,279,"Hermet ",(C),7,France
1.5,150,180,185,155,"R. Ménager",,8,France
1.5,205,135,135,75,Sansus,,9,France
1.5,90,135,135,240,Drouin,,10,France
1.5,275,90,85,15,M.Ménager,,11,France
1.5,195,90,85,110,Vernier,,12,France
1.5,100,90,85,205,Filopon,,13,France
1.5,25,90,85,300,Bonjard,,14,France
1.5,150,50,40,155,Jacquet,,15,France
1.5,45,315,355,265,Cornborough,,1,Angleterre
1.5,150,315,355,155,Davies,,2,Angleterre
1.5,250,315,355,50,Bern,,3,Angleterre
1.5,200,360,405,200,Aldcroft,,4,Angleterre
1.5,100,360,405,110,Ward,,5,Angleterre
1.5,45,405,450,279,Matthews,,6,Angleterre
1.5,250,405,450,35,Packer,,7,Angleterre
1.5,150,405,450,155,Cleall,,8,Angleterre
1.5,90,450,500,240,Infante,,9,Angleterre
1.5,205,450,500,75,Harrison,,10,Angleterre
1.5,25,495,545,300,Breach,,11,Angleterre
1.5,105,495,545,205,Aitchison,,12,Angleterre
1.5,200,495,545,110,Scarratt,,13,Angleterre
1.5,275,495,545,15,Thompson,,14,Angleterre
1.5,150,535,590,155,Rowland,(C),15,Angleterre
