picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Marchand,,2,France
1.5,45,270,275,265,Haouas,,3,France
1.5,200,225,225,110,Flament,,4,France
1.5,100,225,225,200,Willemse,,5,France
1.5,250,180,185,35,Cros,,6,France
1.5,45,180,185,279,Woki,,7,France
1.5,150,180,185,155,Jelonch,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Jalibert,,10,France
1.5,275,90,85,15,Villière,,11,France
1.5,195,90,85,110,Ntamack,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Gallo,,1,Argentine
1.5,150,315,355,155,Montoya,(C),2,Argentine
1.5,250,315,355,50,Gomez-Kodela,,3,Argentine
1.5,200,360,405,200,Petti,,4,Argentine
1.5,100,360,405,110,Lavanini,,5,Argentine
1.5,45,405,450,279,Matera,,6,Argentine
1.5,250,405,450,35,Kremer,,7,Argentine
1.5,150,405,450,155,Isa,,8,Argentine
1.5,90,450,500,240,Cubelli,,9,Argentine
1.5,205,450,500,75,"S. Carreras",,10,Argentine
1.5,25,495,545,300,M.Carreras,,11,Argentine
1.5,105,495,545,205,"De la Fuente",,12,Argentine
1.5,200,495,545,110,Moroni,,13,Argentine
1.5,275,495,545,15,Delguy,,14,Argentine
1.5,150,535,590,155,Boffeli,,15,Argentine
