picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Baille,,1,France
1.5,150,270,275,155,Marchand,,2,France
1.5,45,270,275,265,Atonio,,3,France
1.5,200,225,225,110,Woki,,4,France
1.5,100,225,225,200,"R. Taofifenua",,5,France
1.5,250,180,185,35,Jelonch,,6,France
1.5,45,180,185,279,Macalou,,7,France
1.5,150,180,185,155,Alldritt,,8,France
1.5,205,135,135,75,Dupont,(C),9,France
1.5,90,135,135,240,Jalibert,,10,France
1.5,275,90,85,15,Lebel,,11,France
1.5,195,90,85,110,Ntamack,,12,France
1.5,100,90,85,205,Fickou,,13,France
1.5,25,90,85,300,Penaud,,14,France
1.5,150,50,40,155,Jaminet,,15,France
1.5,45,315,355,265,Gigashvili,,1,Géorgie
1.5,150,315,355,155,Mamukashvili,,2,Géorgie
1.5,250,315,355,50,Melikidze,,3,Géorgie
1.5,200,360,405,200,"Kerdikoshvili ",,4,Géorgie
1.5,100,360,405,110,Mikautadze,,5,Géorgie
1.5,45,405,450,279,"Saginadze ",,6,Géorgie
1.5,250,405,450,35,Tsutskiridze,,7,Géorgie
1.5,150,405,450,155,Gorgadze,,8,Géorgie
1.5,90,450,500,240,"Lobzhanidze ",,9,Géorgie
1.5,205,450,500,75,Abzhandadze,,10,Géorgie
1.5,25,495,545,300,"Todua ",,11,Géorgie
1.5,105,495,545,205,Sharikadze,(C),12,Géorgie
1.5,200,495,545,110,Kveseladze,,13,Géorgie
1.5,275,495,545,15,Tabutsadze,,14,Géorgie
1.5,150,535,590,155,"Niniashvili ",,15,Géorgie
