picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Thomas,,1,Galles
1.5,150,270,275,155,Elias,,2,Galles
1.5,45,270,275,265,Francis,,3,Galles
1.5,200,225,225,110,Rowlands,,4,Galles
1.5,100,225,225,200,Beard,,5,Galles
1.5,250,180,185,35,"S. Davies",,6,Galles
1.5,45,180,185,279,Faletau,,7,Galles
1.5,150,180,185,155,Navidi,,8,Galles
1.5,205,135,135,75,"T. Williams",,9,Galles
1.5,90,135,135,240,Biggar,(C),10,Galles
1.5,275,90,85,15,Adams,,11,Galles
1.5,195,90,85,110,"J. Davies",,12,Galles
1.5,100,90,85,205,Watkin,,13,Galles
1.5,25,90,85,300,Cuthbert,,14,Galles
1.5,150,50,40,155,"L. Williams",,15,Galles
1.5,45,315,355,265,Baille,,1,France
1.5,150,315,355,155,Marchand,,2,France
1.5,250,315,355,50,Atonio,,3,France
1.5,200,360,405,200,Woki,,4,France
1.5,100,360,405,110,Willemse,,5,France
1.5,45,405,450,279,Cros,,6,France
1.5,250,405,450,35,Jelonch,,7,France
1.5,150,405,450,155,Alldritt,,8,France
1.5,90,450,500,240,Dupont,(C),9,France
1.5,205,450,500,75,Ntamack,,10,France
1.5,25,495,545,300,Villière,,11,France
1.5,105,495,545,205,Danty,,12,France
1.5,200,495,545,110,Fickou,,13,France
1.5,275,495,545,15,Moefana,,14,France
1.5,150,535,590,155,Jaminet,,15,France
