picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Eglaine,,1,Grenoble
1.5,150,270,275,155,Sarragallet,,2,Grenoble
1.5,45,270,275,265,Taufa,,3,Grenoble
1.5,200,225,225,110,Madeira,,4,Grenoble
1.5,100,225,225,200,Ruaud,,5,Grenoble
1.5,250,180,185,35,Schoeman,,6,Grenoble
1.5,45,180,185,279,"Blanc Mappaz",(C),7,Grenoble
1.5,150,180,185,155,Martel,,8,Grenoble
1.5,205,135,135,75,Escande,,9,Grenoble
1.5,90,135,135,240,Barthélémy,,10,Grenoble
1.5,275,90,85,15,Qadiri,,11,Grenoble
1.5,195,90,85,110,Séguret,,12,Grenoble
1.5,100,90,85,205,Fusier,,13,Grenoble
1.5,25,90,85,300,Guillemin,,14,Grenoble
1.5,150,50,40,155,Capuozzo,,15,Grenoble
1.5,45,315,355,265,Duprat,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Demotte,,4,Agen
1.5,100,360,405,110,Maravat,,5,Agen
1.5,45,405,450,279,Lokotui,,6,Agen
1.5,250,405,450,35,Duputs,(C),7,Agen
1.5,150,405,450,155,Nollet,,8,Agen
1.5,90,450,500,240,Graou,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Reid,,12,Agen
1.5,200,495,545,110,Sloan,,13,Agen
1.5,275,495,545,15,Etcheverry,,14,Agen
1.5,150,535,590,155,Louvet,,15,Agen
