picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,Harlequins
1.5,150,270,275,155,vv,,2,Harlequins
1.5,45,270,275,265,vv,,3,Harlequins
1.5,200,225,225,110,vv,,4,Harlequins
1.5,100,225,225,200,vv,,5,Harlequins
1.5,250,180,185,35,vv,,6,Harlequins
1.5,45,180,185,279,vv,,7,Harlequins
1.5,150,180,185,155,vv,,8,Harlequins
1.5,205,135,135,75,vv,,9,Harlequins
1.5,90,135,135,240,vv,,10,Harlequins
1.5,275,90,85,15,vv,,11,Harlequins
1.5,195,90,85,110,vv,,12,Harlequins
1.5,100,90,85,205,vv,,13,Harlequins
1.5,25,90,85,300,vv,,14,Harlequins
1.5,150,50,40,155,vv,,15,Harlequins
1.5,45,315,355,265,vv,,1,Leicester
1.5,150,315,355,155,vv,,2,Leicester
1.5,250,315,355,50,vv,,3,Leicester
1.5,200,360,405,200,vv,,4,Leicester
1.5,100,360,405,110,vv,,5,Leicester
1.5,45,405,450,279,vv,,6,Leicester
1.5,250,405,450,35,vv,,7,Leicester
1.5,150,405,450,155,vv,,8,Leicester
1.5,90,450,500,240,vv,,9,Leicester
1.5,205,450,500,75,vv,,10,Leicester
1.5,25,495,545,300,vv,,11,Leicester
1.5,105,495,545,205,vv,,12,Leicester
1.5,200,495,545,110,vv,,13,Leicester
1.5,275,495,545,15,vv,,14,Leicester
1.5,150,535,590,155,vv,,15,Leicester
