picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,m,,1,Irlande
1.5,150,270,275,155,m,,2,Irlande
1.5,45,270,275,265,m,,3,Irlande
1.5,200,225,225,110,m,,4,Irlande
1.5,100,225,225,200,m,,5,Irlande
1.5,250,180,185,35,m,,6,Irlande
1.5,45,180,185,279,m,,7,Irlande
1.5,150,180,185,155,m,,8,Irlande
1.5,205,135,135,75,m,,9,Irlande
1.5,90,135,135,240,m,,10,Irlande
1.5,275,90,85,15,m,,11,Irlande
1.5,195,90,85,110,m,,12,Irlande
1.5,100,90,85,205,m,,13,Irlande
1.5,25,90,85,300,m,,14,Irlande
1.5,150,50,40,155,m,,15,Irlande
1.5,45,315,355,265,m,,1,Italie
1.5,150,315,355,155,m,,2,Italie
1.5,250,315,355,50,m,,3,Italie
1.5,200,360,405,200,m,,4,Italie
1.5,100,360,405,110,m,,5,Italie
1.5,45,405,450,279,m,,6,Italie
1.5,250,405,450,35,m,,7,Italie
1.5,150,405,450,155,m,,8,Italie
1.5,90,450,500,240,m,,9,Italie
1.5,205,450,500,75,m,,10,Italie
1.5,25,495,545,300,m,,11,Italie
1.5,105,495,545,205,m,,12,Italie
1.5,200,495,545,110,m,,13,Italie
1.5,275,495,545,15,m,,14,Italie
1.5,150,535,590,155,m,,15,Italie
