picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,,4,"La Rochelle"
1.5,100,225,225,200,Picquette,,5,"La Rochelle"
1.5,250,180,185,35,"Pa. Boudehent",,6,"La Rochelle"
1.5,45,180,185,279,Bourdeau,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Popelin,,10,"La Rochelle"
1.5,275,90,85,15,Rhule,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Leyds,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Schoeman,,1,Bath
1.5,150,315,355,155,Doughty,,2,Bath
1.5,250,315,355,50,Rae,,3,Bath
1.5,200,360,405,200,McNally,,4,Bath
1.5,100,360,405,110,Ewels,(C),5,Bath
1.5,45,405,450,279,Ellis,,6,Bath
1.5,250,405,450,35,Richards,,7,Bath
1.5,150,405,450,155,Bayliss,,8,Bath
1.5,90,450,500,240,"B. Spencer",,9,Bath
1.5,205,450,500,75,Redpath,,10,Bath
1.5,25,495,545,300,Muir,,11,Bath
1.5,105,495,545,205,Clark,,12,Bath
1.5,200,495,545,110,Joseph,,13,Bath
1.5,275,495,545,15,Prydie,,14,Bath
1.5,150,535,590,155,McConnochie,,15,Bath
