picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Lagrange,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Lavault,,4,"La Rochelle"
1.5,100,225,225,200,Picquette,,5,"La Rochelle"
1.5,250,180,185,35,Haddad,,6,"La Rochelle"
1.5,45,180,185,279,"Pa. Boudehent",,7,"La Rochelle"
1.5,150,180,185,155,Gourdon,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Popelin,,10,"La Rochelle"
1.5,275,90,85,15,"Pi. Boudehent",,11,"La Rochelle"
1.5,195,90,85,110,Botia,,12,"La Rochelle"
1.5,100,90,85,205,Buliruara,,13,"La Rochelle"
1.5,25,90,85,300,Favre,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Cronin,,1,Biarritz
1.5,150,315,355,155,"Da Ros",,2,Biarritz
1.5,250,315,355,50,Samaran,,3,Biarritz
1.5,200,360,405,200,Aliouat,,4,Biarritz
1.5,100,360,405,110,Erbani,,5,Biarritz
1.5,45,405,450,279,Dyer,,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Jalagonia,,8,Biarritz
1.5,90,450,500,240,Hart,,9,Biarritz
1.5,205,450,500,75,Bosch,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,Plessis-Couillaud,,12,Biarritz
1.5,200,495,545,110,Vergnaud,,13,Biarritz
1.5,275,495,545,15,Artru,,14,Biarritz
1.5,150,535,590,155,Lonca,(C),15,Biarritz
