picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bosch,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,,4,"La Rochelle"
1.5,100,225,225,200,Picquette,,5,"La Rochelle"
1.5,250,180,185,35,Vito,,6,"La Rochelle"
1.5,45,180,185,279,Haddad-Victor,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,West,,10,"La Rochelle"
1.5,275,90,85,15,Rhule,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Buliruarua,,13,"La Rochelle"
1.5,25,90,85,300,"Alonso Muñoz",,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Paiva,,1,Bordeaux-Bègles
1.5,150,315,355,155,Maynadier,,2,Bordeaux-Bègles
1.5,250,315,355,50,Kaulashvili,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Roussel,,5,Bordeaux-Bègles
1.5,45,405,450,279,Bochaton,,6,Bordeaux-Bègles
1.5,250,405,450,35,Diaby,(C),7,Bordeaux-Bègles
1.5,150,405,450,155,Vaipulu,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lucu,,9,Bordeaux-Bègles
1.5,205,450,500,75,Garcia,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Massé,,12,Bordeaux-Bègles
1.5,200,495,545,110,Moefana,,13,Bordeaux-Bègles
1.5,275,495,545,15,Mori,,14,Bordeaux-Bègles
1.5,150,535,590,155,Ducuing,,15,Bordeaux-Bègles
