picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,(C),2,"La Rochelle"
1.5,45,270,275,265,Sclavi,,3,"La Rochelle"
1.5,200,225,225,110,Lavault,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,"Pa. Boudehent",,6,"La Rochelle"
1.5,45,180,185,279,Bourdeau,,7,"La Rochelle"
1.5,150,180,185,155,Vito,,8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,West,,10,"La Rochelle"
1.5,275,90,85,15,Favre,,11,"La Rochelle"
1.5,195,90,85,110,Botia,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Leyds,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Thompson-Stringer,,1,Brive
1.5,150,315,355,155,Karkadze,,2,Brive
1.5,250,315,355,50,Ceccarelli,,3,Brive
1.5,200,360,405,200,Ratuva,,4,Brive
1.5,100,360,405,110,Lebas,,5,Brive
1.5,45,405,450,279,Marais,,6,Brive
1.5,250,405,450,35,Voisin,(C),7,Brive
1.5,150,405,450,155,Lam,,8,Brive
1.5,90,450,500,240,"Lobzhanidze ",,9,Brive
1.5,205,450,500,75,Abzhandadze,,10,Brive
1.5,25,495,545,300,Douglas,,11,Brive
1.5,105,495,545,205,Galletier,,12,Brive
1.5,200,495,545,110,Tuicuvu,,13,Brive
1.5,275,495,545,15,Tirefort,,14,Brive
1.5,150,535,590,155,Muller,,15,Brive
