picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bosch,,2,"La Rochelle"
1.5,45,270,275,265,Sclavi,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,(C),4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Liebenberg,,6,"La Rochelle"
1.5,45,180,185,279,"Pa. Boudehent",,7,"La Rochelle"
1.5,150,180,185,155,Vito,,8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Popelin,,10,"La Rochelle"
1.5,275,90,85,15,"Pi. Boudehent",,11,"La Rochelle"
1.5,195,90,85,110,Sinzelle,,12,"La Rochelle"
1.5,100,90,85,205,Rhule,,13,"La Rochelle"
1.5,25,90,85,300,Favre,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Falgoux,,1,Clermont
1.5,150,315,355,155,Fourcade,,2,Clermont
1.5,250,315,355,50,Slimani,,3,Clermont
1.5,200,360,405,200,Lavanini,,4,Clermont
1.5,100,360,405,110,Vahaamahina,(C),5,Clermont
1.5,45,405,450,279,Cancoriet,,6,Clermont
1.5,250,405,450,35,Tixeront,,7,Clermont
1.5,150,405,450,155,Dessaigne,,8,Clermont
1.5,90,450,500,240,Bézy,,9,Clermont
1.5,205,450,500,75,Parra,,10,Clermont
1.5,25,495,545,300,Tiberghien,,11,Clermont
1.5,105,495,545,205,Naqalevu,,12,Clermont
1.5,200,495,545,110,Barraque,,13,Clermont
1.5,275,495,545,15,Rozière,,14,Clermont
1.5,150,535,590,155,Matsushima,,15,Clermont
