picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,"Pa. Boudehent",,6,"La Rochelle"
1.5,45,180,185,279,Vito,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,West,,10,"La Rochelle"
1.5,275,90,85,15,Retière,,11,"La Rochelle"
1.5,195,90,85,110,Botia,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Favre,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Kebble,,1,Glasgow
1.5,150,315,355,155,Turner,,2,Glasgow
1.5,250,315,355,50,"Z. Fagerson",,3,Glasgow
1.5,200,360,405,200,Cummings,,4,Glasgow
1.5,100,360,405,110,"R. Gray",,5,Glasgow
1.5,45,405,450,279,"M. Fagerson",,6,Glasgow
1.5,250,405,450,35,Darge,,7,Glasgow
1.5,150,405,450,155,Dempsey,,8,Glasgow
1.5,90,450,500,240,"Price ",(C),9,Glasgow
1.5,205,450,500,75,Thompson,,10,Glasgow
1.5,25,495,545,300,McLean,,11,Glasgow
1.5,105,495,545,205,Johnson,,12,Glasgow
1.5,200,495,545,110,Tuipolotu,,13,Glasgow
1.5,275,495,545,15,Steyn,,14,Glasgow
1.5,150,535,590,155,McKay,,15,Glasgow
