picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Lespiaucq,,2,"La Rochelle"
1.5,45,270,275,265,"Colombe Reazel",,3,"La Rochelle"
1.5,200,225,225,110,"Sazy ",,4,"La Rochelle"
1.5,100,225,225,200,Picquette,,5,"La Rochelle"
1.5,250,180,185,35,Bourdeau,,6,"La Rochelle"
1.5,45,180,185,279,Tanga,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Hastoy,,10,"La Rochelle"
1.5,275,90,85,15,Leyds,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Rhule,,13,"La Rochelle"
1.5,25,90,85,300,"Pi. Boudehent",,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Chauvac,,1,Montpellier
1.5,150,315,355,155,Maurouard,,2,Montpellier
1.5,250,315,355,50,Haouas,,3,Montpellier
1.5,200,360,405,200,"Van Rensburg",,4,Montpellier
1.5,100,360,405,110,Chalureau,,5,Montpellier
1.5,45,405,450,279,Bécognée,,6,Montpellier
1.5,250,405,450,35,Mercer,,7,Montpellier
1.5,150,405,450,155,Camara,(C),8,Montpellier
1.5,90,450,500,240,Coly,,9,Montpellier
1.5,205,450,500,75,Carbonel,,10,Montpellier
1.5,25,495,545,300,Ngandebe,,11,Montpellier
1.5,105,495,545,205,Garbisi,,12,Montpellier
1.5,200,495,545,110,Doumayrou,,13,Montpellier
1.5,275,495,545,15,Lam,,14,Montpellier
1.5,150,535,590,155,Bouthier,,15,Montpellier
