picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,PAIVA,,1,"La Rochelle"
1.5,150,270,275,155,LESPIAUCQ,,2,"La Rochelle"
1.5,45,270,275,265,COLOMBE,,3,"La Rochelle"
1.5,200,225,225,110,LAVAULT,,4,"La Rochelle"
1.5,100,225,225,200,SKELTON,,5,"La Rochelle"
1.5,250,180,185,35,HATHERELL,,6,"La Rochelle"
1.5,45,180,185,279,BOURDEAU,,7,"La Rochelle"
1.5,150,180,185,155,HADDAD,,8,"La Rochelle"
1.5,205,135,135,75,KERR-BARLOW,,9,"La Rochelle"
1.5,90,135,135,240,HASTOY,,10,"La Rochelle"
1.5,275,90,85,15,LEYDS,,11,"La Rochelle"
1.5,195,90,85,110,BOTIA,(C),12,"La Rochelle"
1.5,100,90,85,205,RHULE,,13,"La Rochelle"
1.5,25,90,85,300,THOMAS,,14,"La Rochelle"
1.5,150,50,40,155,DULIN,,15,"La Rochelle"
1.5,45,315,355,265,TAILHADES,,1,Pau
1.5,150,315,355,155,RUFFENACH,,2,Pau
1.5,250,315,355,50,PAPIDZE,,3,Pau
1.5,200,360,405,200,TAGITAGIVALU,,4,Pau
1.5,100,360,405,110,METZ,,5,Pau
1.5,45,405,450,279,GORGADZE,(C),6,Pau
1.5,250,405,450,35,WHITELOCK,,7,Pau
1.5,150,405,450,155,JOSEPH,,8,Pau
1.5,90,450,500,240,DAUBAGNA,,9,Pau
1.5,205,450,500,75,HENRY,,10,Pau
1.5,25,495,545,300,PINTO,,11,Pau
1.5,105,495,545,205,GAILLETON,,12,Pau
1.5,200,495,545,110,REILHAC,,13,Pau
1.5,275,495,545,15,IKPEFAN,,14,Pau
1.5,150,535,590,155,MADDOCKS,,15,Pau
