picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Bosch,,2,"La Rochelle"
1.5,45,270,275,265,Sclavi,,3,"La Rochelle"
1.5,200,225,225,110,Picquette,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Liebenberg,(C),6,"La Rochelle"
1.5,45,180,185,279,Bourdeau,,7,"La Rochelle"
1.5,150,180,185,155,"Pa. Boudehent",,8,"La Rochelle"
1.5,205,135,135,75,Berjon,,9,"La Rochelle"
1.5,90,135,135,240,Plisson,,10,"La Rochelle"
1.5,275,90,85,15,"Alonso Muñoz",,11,"La Rochelle"
1.5,195,90,85,110,Botia,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Favre,,14,"La Rochelle"
1.5,150,50,40,155,Leyds,,15,"La Rochelle"
1.5,45,315,355,265,Chiocci,,1,Perpignan
1.5,150,315,355,155,Velarte,,2,Perpignan
1.5,250,315,355,50,Joly,,3,Perpignan
1.5,200,360,405,200,Labouteley,,4,Perpignan
1.5,100,360,405,110,Mahu,,5,Perpignan
1.5,45,405,450,279,Brazo,,6,Perpignan
1.5,250,405,450,35,Bachelier,,7,Perpignan
1.5,150,405,450,155,Oviedo,,8,Perpignan
1.5,90,450,500,240,Rodor,,9,Perpignan
1.5,205,450,500,75,Tedder,,10,Perpignan
1.5,25,495,545,300,Acebes,(C),11,Perpignan
1.5,105,495,545,205,Tilsley,,12,Perpignan
1.5,200,495,545,110,Taumoepeau,,13,Perpignan
1.5,275,495,545,15,Delguy,,14,Perpignan
1.5,150,535,590,155,Jaminet,,15,Perpignan
