picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wardi,,1,"La Rochelle"
1.5,150,270,275,155,Bosch,,2,"La Rochelle"
1.5,45,270,275,265,Sclavi,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,(C),4,"La Rochelle"
1.5,100,225,225,200,Tanguy,,5,"La Rochelle"
1.5,250,180,185,35,Bourdeau,,6,"La Rochelle"
1.5,45,180,185,279,Haddad-Victor,,7,"La Rochelle"
1.5,150,180,185,155,Vito,,8,"La Rochelle"
1.5,205,135,135,75,Berjon,,9,"La Rochelle"
1.5,90,135,135,240,Plisson,,10,"La Rochelle"
1.5,275,90,85,15,Retière,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Botia,,13,"La Rochelle"
1.5,25,90,85,300,"Pi. Boudehent",,14,"La Rochelle"
1.5,150,50,40,155,Popelin,,15,"La Rochelle"
1.5,45,315,355,265,Castets,,1,"Stade Français"
1.5,150,315,355,155,"Da Silva",,2,"Stade Français"
1.5,250,315,355,50,Roelofse,,3,"Stade Français"
1.5,200,360,405,200,Garbillagues,(C),4,"Stade Français"
1.5,100,360,405,110,"Van der Mescht",,5,"Stade Français"
1.5,45,405,450,279,Kremer,,6,"Stade Français"
1.5,250,405,450,35,Macalou,,7,"Stade Français"
1.5,150,405,450,155,Godener,,8,"Stade Français"
1.5,90,450,500,240,Coville,,9,"Stade Français"
1.5,205,450,500,75,Sanchez,,10,"Stade Français"
1.5,25,495,545,300,Etien,,11,"Stade Français"
1.5,105,495,545,205,Arrate,,12,"Stade Français"
1.5,200,495,545,110,Nayacalevu,,13,"Stade Français"
1.5,275,495,545,15,Naivalu,,14,"Stade Français"
1.5,150,535,590,155,Hamdaoui,,15,"Stade Français"
