picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Sazy,,4,"La Rochelle"
1.5,100,225,225,200,Skelton,,5,"La Rochelle"
1.5,250,180,185,35,Vito,,6,"La Rochelle"
1.5,45,180,185,279,Gourdon,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,West,,10,"La Rochelle"
1.5,275,90,85,15,Retière,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Sinzelle,,13,"La Rochelle"
1.5,25,90,85,300,Favre,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Gros,,1,Toulon
1.5,150,315,355,155,Gigashvili,,2,Toulon
1.5,250,315,355,50,Brookes,,3,Toulon
1.5,200,360,405,200,Nakarawa,,4,Toulon
1.5,100,360,405,110,"Alainu\'uese",,5,Toulon
1.5,45,405,450,279,Rebbadj,(C),6,Toulon
1.5,250,405,450,35,Ory,,7,Toulon
1.5,150,405,450,155,Isa,,8,Toulon
1.5,90,450,500,240,Blanc,,9,Toulon
1.5,205,450,500,75,Belleau,,10,Toulon
1.5,25,495,545,300,Wainiqolo,,11,Toulon
1.5,105,495,545,205,"Paia\'aua",,12,Toulon
1.5,200,495,545,110,Salles,,13,Toulon
1.5,275,495,545,15,Cordin,,14,Toulon
1.5,150,535,590,155,Luc,,15,Toulon
