picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Porter,,1,Leinster
1.5,150,270,275,155,Kelleher,,2,Leinster
1.5,45,270,275,265,Furlong,,3,Leinster
1.5,200,225,225,110,Molony,,4,Leinster
1.5,100,225,225,200,Ryan,,5,Leinster
1.5,250,180,185,35,Doris,,6,Leinster
1.5,45,180,185,279,"van der Flier",,7,Leinster
1.5,150,180,185,155,Conan,,8,Leinster
1.5,205,135,135,75,"Gibson Park",,9,Leinster
1.5,90,135,135,240,Sexton,(C),10,Leinster
1.5,275,90,85,15,Lowe,,11,Leinster
1.5,195,90,85,110,Henshaw,,12,Leinster
1.5,100,90,85,205,Ringrose,,13,Leinster
1.5,25,90,85,300,"O\'Brien",,14,Leinster
1.5,150,50,40,155,Keenan,,15,Leinster
1.5,45,315,355,265,Priso,,1,"La Rochelle"
1.5,150,315,355,155,Bourgarit,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Lavault,,4,"La Rochelle"
1.5,100,360,405,110,Skelton,,5,"La Rochelle"
1.5,45,405,450,279,Liebenberg,,6,"La Rochelle"
1.5,250,405,450,35,Haddad,,7,"La Rochelle"
1.5,150,405,450,155,Alldritt,(C),8,"La Rochelle"
1.5,90,450,500,240,Berjon,,9,"La Rochelle"
1.5,205,450,500,75,West,,10,"La Rochelle"
1.5,25,495,545,300,Rhule,,11,"La Rochelle"
1.5,105,495,545,205,Danty,,12,"La Rochelle"
1.5,200,495,545,110,Sinzelle,,13,"La Rochelle"
1.5,275,495,545,15,Leyds,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
