picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,"London Irish"
1.5,150,270,275,155,vv,,2,"London Irish"
1.5,45,270,275,265,vv,,3,"London Irish"
1.5,200,225,225,110,vv,,4,"London Irish"
1.5,100,225,225,200,vv,,5,"London Irish"
1.5,250,180,185,35,vv,,6,"London Irish"
1.5,45,180,185,279,vv,,7,"London Irish"
1.5,150,180,185,155,vv,,8,"London Irish"
1.5,205,135,135,75,vv,,9,"London Irish"
1.5,90,135,135,240,vv,,10,"London Irish"
1.5,275,90,85,15,vv,,11,"London Irish"
1.5,195,90,85,110,vv,,12,"London Irish"
1.5,100,90,85,205,vv,,13,"London Irish"
1.5,25,90,85,300,vv,,14,"London Irish"
1.5,150,50,40,155,vv,,15,"London Irish"
1.5,45,315,355,265,vv,,1,Newcastle
1.5,150,315,355,155,vv,,2,Newcastle
1.5,250,315,355,50,vv,,3,Newcastle
1.5,200,360,405,200,vv,,4,Newcastle
1.5,100,360,405,110,vv,,5,Newcastle
1.5,45,405,450,279,vv,,6,Newcastle
1.5,250,405,450,35,vv,,7,Newcastle
1.5,150,405,450,155,vv,,8,Newcastle
1.5,90,450,500,240,vv,,9,Newcastle
1.5,205,450,500,75,vv,,10,Newcastle
1.5,25,495,545,300,vv,,11,Newcastle
1.5,105,495,545,205,vv,,12,Newcastle
1.5,200,495,545,110,vv,,13,Newcastle
1.5,275,495,545,15,vv,,14,Newcastle
1.5,150,535,590,155,vv,,15,Newcastle
