picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Devisme,,1,Lyon
1.5,150,270,275,155,Charcosset,,2,Lyon
1.5,45,270,275,265,Gomez-Kodela,,3,Lyon
1.5,200,225,225,110,Guillard,,4,Lyon
1.5,100,225,225,200,Mayanavanua,,5,Lyon
1.5,250,180,185,35,"Fainga\'a",,6,Lyon
1.5,45,180,185,279,Lambey,,7,Lyon
1.5,150,180,185,155,Taufua,(C),8,Lyon
1.5,205,135,135,75,Pélissié,,9,Lyon
1.5,90,135,135,240,Sopoaga,,10,Lyon
1.5,275,90,85,15,Nakaitaci,,11,Lyon
1.5,195,90,85,110,Ngatai,,12,Lyon
1.5,100,90,85,205,Barassi,,13,Lyon
1.5,25,90,85,300,Tuisova,,14,Lyon
1.5,150,50,40,155,Arnold,,15,Lyon
1.5,45,315,355,265,Erdocio,,1,Biarritz
1.5,150,315,355,155,Soury,,2,Biarritz
1.5,250,315,355,50,Samaran,,3,Biarritz
1.5,200,360,405,200,Gimeno,,4,Biarritz
1.5,100,360,405,110,Olmstead,,5,Biarritz
1.5,45,405,450,279,Dixon,,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Armitage,(C),8,Biarritz
1.5,90,450,500,240,Cubelli,,9,Biarritz
1.5,205,450,500,75,Herron,,10,Biarritz
1.5,25,495,545,300,Artru,,11,Biarritz
1.5,105,495,545,205,Vergnaud,,12,Biarritz
1.5,200,495,545,110,Martin,,13,Biarritz
1.5,275,495,545,15,Domvo,,14,Biarritz
1.5,150,535,590,155,Lucu,,15,Biarritz
