picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Rey,,1,Lyon
1.5,150,270,275,155,Coltman,,2,Lyon
1.5,45,270,275,265,Fotuaika,,3,Lyon
1.5,200,225,225,110,Geraci,,4,Lyon
1.5,100,225,225,200,Mayanavanua,,5,Lyon
1.5,250,180,185,35,Cretin,,6,Lyon
1.5,45,180,185,279,Botha,,7,Lyon
1.5,150,180,185,155,Taufua,(C),8,Lyon
1.5,205,135,135,75,Couilloud,,9,Lyon
1.5,90,135,135,240,Berdeu,,10,Lyon
1.5,275,90,85,15,Dumortier,,11,Lyon
1.5,195,90,85,110,Godwin,,12,Lyon
1.5,100,90,85,205,Regard,,13,Lyon
1.5,25,90,85,300,Veredamu,,14,Lyon
1.5,150,50,40,155,Niniashvili,,15,Lyon
1.5,45,315,355,265,"Fisi ihoi",,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Tokolahi,,3,Pau
1.5,200,360,405,200,Cummins,,4,Pau
1.5,100,360,405,110,Metz,,5,Pau
1.5,45,405,450,279,Hamonou,,6,Pau
1.5,250,405,450,35,Whitelock,,7,Pau
1.5,150,405,450,155,Gorgadze,(C),8,Pau
1.5,90,450,500,240,Daubagna,,9,Pau
1.5,205,450,500,75,Henry,,10,Pau
1.5,25,495,545,300,Laporte,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Gailleton,,13,Pau
1.5,275,495,545,15,Ikpefan,,14,Pau
1.5,150,535,590,155,Maddocks,,15,Pau
