picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,1,(C),1,Lyon
1.5,150,270,275,155,2,,2,Lyon
1.5,45,270,275,265,3,,3,Lyon
1.5,200,225,225,110,4,,4,Lyon
1.5,100,225,225,200,5,,5,Lyon
1.5,250,180,185,35,6,,6,Lyon
1.5,45,180,185,279,7,,7,Lyon
1.5,150,180,185,155,8,,8,Lyon
1.5,205,135,135,75,9,,9,Lyon
1.5,90,135,135,240,4,,10,Lyon
1.5,275,90,85,15,5,,11,Lyon
1.5,195,90,85,110,6,,12,Lyon
1.5,100,90,85,205,7,,13,Lyon
1.5,25,90,85,300,8,,14,Lyon
1.5,150,50,40,155,9,,15,Lyon
1.5,45,315,355,265,A,(C),1,Perpignan
1.5,150,315,355,155,Z,,2,Perpignan
1.5,250,315,355,50,E,,3,Perpignan
1.5,200,360,405,200,R,,4,Perpignan
1.5,100,360,405,110,T,,5,Perpignan
1.5,45,405,450,279,Y,,6,Perpignan
1.5,250,405,450,35,U,,7,Perpignan
1.5,150,405,450,155,I,,8,Perpignan
1.5,90,450,500,240,O,,9,Perpignan
1.5,205,450,500,75,P,,10,Perpignan
1.5,25,495,545,300,Q,,11,Perpignan
1.5,105,495,545,205,S,,12,Perpignan
1.5,200,495,545,110,D,,13,Perpignan
1.5,275,495,545,15,F,,14,Perpignan
1.5,150,535,590,155,G,,15,Perpignan
