picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Christophe Vigier",,1,Lyon
1.5,150,270,275,155,"Christophe Vigier",,2,Lyon
1.5,45,270,275,265,"Christophe Vigier",,3,Lyon
1.5,200,225,225,110,"Christophe Vigier",,4,Lyon
1.5,100,225,225,200,"Christophe Vigier",,5,Lyon
1.5,250,180,185,35,"Christophe Vigier",,6,Lyon
1.5,45,180,185,279,"Christophe Vigier",,7,Lyon
1.5,150,180,185,155,"Christophe Vigier",,8,Lyon
1.5,205,135,135,75,"Christophe Vigier",,9,Lyon
1.5,90,135,135,240,"Christophe Vigier",,10,Lyon
1.5,275,90,85,15,"Christophe Vigier",,11,Lyon
1.5,195,90,85,110,"Christophe Vigier",,12,Lyon
1.5,100,90,85,205,"Christophe Vigier",,13,Lyon
1.5,25,90,85,300,"Christophe Vigier",,14,Lyon
1.5,150,50,40,155,"Christophe Vigier",(C),15,Lyon
1.5,45,315,355,265,"Didier Dubourg",,1,Toulouse
1.5,150,315,355,155,"Didier Dubourg",,2,Toulouse
1.5,250,315,355,50,"Didier Dubourg",,3,Toulouse
1.5,200,360,405,200,"Didier Dubourg",,4,Toulouse
1.5,100,360,405,110,"Didier Dubourg",,5,Toulouse
1.5,45,405,450,279,"Didier Dubourg",,6,Toulouse
1.5,250,405,450,35,"Didier Dubourg",,7,Toulouse
1.5,150,405,450,155,"Didier Dubourg",,8,Toulouse
1.5,90,450,500,240,"Didier Dubourg",,9,Toulouse
1.5,205,450,500,75,"Didier Dubourg",,10,Toulouse
1.5,25,495,545,300,"Didier Dubourg",,11,Toulouse
1.5,105,495,545,205,"Didier Dubourg",,12,Toulouse
1.5,200,495,545,110,"Didier Dubourg",,13,Toulouse
1.5,275,495,545,15,"Didier Dubourg",,14,Toulouse
1.5,150,535,590,155,"Didier Dubourg",(C),15,Toulouse
