picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tcheishvili,,1,Massy
1.5,150,270,275,155,Meite,,2,Massy
1.5,45,270,275,265,Ferrer,,3,Massy
1.5,200,225,225,110,Chauveau,(C),4,Massy
1.5,100,225,225,200,Oulai,,5,Massy
1.5,250,180,185,35,Decubber,,6,Massy
1.5,45,180,185,279,Coetzee,,7,Massy
1.5,150,180,185,155,Lanen,,8,Massy
1.5,205,135,135,75,Prier,,9,Massy
1.5,90,135,135,240,Ortolan,,10,Massy
1.5,275,90,85,15,Tawalo,,11,Massy
1.5,195,90,85,110,Guillomot,,12,Massy
1.5,100,90,85,205,Jacomme,,13,Massy
1.5,25,90,85,300,"Dit Robaglia",,14,Massy
1.5,150,50,40,155,Clouté,,15,Massy
1.5,45,315,355,265,Erdocio,,1,Biarritz
1.5,150,315,355,155,Sauveterre,,2,Biarritz
1.5,250,315,355,50,Millar,(C),3,Biarritz
1.5,200,360,405,200,"O\'Callaghan",,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,Augry,,6,Biarritz
1.5,250,405,450,35,Hébert,,7,Biarritz
1.5,150,405,450,155,Dixon,,8,Biarritz
1.5,90,450,500,240,Couilloud,,9,Biarritz
1.5,205,450,500,75,Germain,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,Vergnaud,,12,Biarritz
1.5,200,495,545,110,Morgan,,13,Biarritz
1.5,275,495,545,15,Speight,,14,Biarritz
1.5,150,535,590,155,Jonas,,15,Biarritz
