picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Innocente,,1,Mont-de-Marsan
1.5,150,270,275,155,Latterrade,,2,Mont-de-Marsan
1.5,45,270,275,265,Alves,,3,Mont-de-Marsan
1.5,200,225,225,110,Fortuin,,4,Mont-de-Marsan
1.5,100,225,225,200,Cedaro,,5,Mont-de-Marsan
1.5,250,180,185,35,Brethous,(C),6,Mont-de-Marsan
1.5,45,180,185,279,Garrault,,7,Mont-de-Marsan
1.5,150,180,185,155,Faleafa,,8,Mont-de-Marsan
1.5,205,135,135,75,"(m) Doan",,9,Mont-de-Marsan
1.5,90,135,135,240,"(o) Du Plessis",,10,Mont-de-Marsan
1.5,275,90,85,15,Naituvi,,11,Mont-de-Marsan
1.5,195,90,85,110,Mensa,,12,Mont-de-Marsan
1.5,100,90,85,205,Even,,13,Mont-de-Marsan
1.5,25,90,85,300,Curtis,,14,Mont-de-Marsan
1.5,150,50,40,155,Bento,,15,Mont-de-Marsan
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Erbani,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Duputs,,6,Agen
1.5,250,405,450,35,Farré,(C),7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,"(m) Bellot",,9,Agen
1.5,205,450,500,75,"(o) Lagarde",,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Belan,,13,Agen
1.5,275,495,545,15,Etcheverry,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
