picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Bultel,,1,Mont-de-Marsan
1.5,150,270,275,155,Latterrade,,2,Mont-de-Marsan
1.5,45,270,275,265,Macharashvili,,3,Mont-de-Marsan
1.5,200,225,225,110,Fortuin,,4,Mont-de-Marsan
1.5,100,225,225,200,Cedaro,,5,Mont-de-Marsan
1.5,250,180,185,35,Lisena,,6,Mont-de-Marsan
1.5,45,180,185,279,Garrault,,7,Mont-de-Marsan
1.5,150,180,185,155,Tauleigne,,8,Mont-de-Marsan
1.5,205,135,135,75,Loustalot,,9,Mont-de-Marsan
1.5,90,135,135,240,"Du Plessis",(C),10,Mont-de-Marsan
1.5,275,90,85,15,Naituvi,,11,Mont-de-Marsan
1.5,195,90,85,110,Even,,12,Mont-de-Marsan
1.5,100,90,85,205,Wakaya,,13,Mont-de-Marsan
1.5,25,90,85,300,"De Nardi",,14,Mont-de-Marsan
1.5,150,50,40,155,"Laousse Azpiazu",,15,Mont-de-Marsan
1.5,45,315,355,265,Plantier,,1,Aurillac
1.5,150,315,355,155,Lachaud,,2,Aurillac
1.5,250,315,355,50,Kartvelishvili,,3,Aurillac
1.5,200,360,405,200,Rolland,,4,Aurillac
1.5,100,360,405,110,Javakhia,,5,Aurillac
1.5,45,405,450,279,Shvangiradze,,6,Aurillac
1.5,250,405,450,35,Profit,,7,Aurillac
1.5,150,405,450,155,Tison,(C),8,Aurillac
1.5,90,450,500,240,Bouyssou,,9,Aurillac
1.5,205,450,500,75,Palmier,,10,Aurillac
1.5,25,495,545,300,Coertzen,,11,Aurillac
1.5,105,495,545,205,Powell,,12,Aurillac
1.5,200,495,545,110,Yobo,,13,Aurillac
1.5,275,495,545,15,Minguillon,,14,Aurillac
1.5,150,535,590,155,Neisen,,15,Aurillac
