picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Muzzio,,1,Mont-de-Marsan
1.5,150,270,275,155,Gonzalez,,2,Mont-de-Marsan
1.5,45,270,275,265,Alves,,3,Mont-de-Marsan
1.5,200,225,225,110,Garrault,,4,Mont-de-Marsan
1.5,100,225,225,200,Ostrikov,,5,Mont-de-Marsan
1.5,250,180,185,35,Brethous,,6,Mont-de-Marsan
1.5,45,180,185,279,Banos,,7,Mont-de-Marsan
1.5,150,180,185,155,Faleafa,,8,Mont-de-Marsan
1.5,205,135,135,75,Coly,,9,Mont-de-Marsan
1.5,90,135,135,240,"Du Plessis",(C),10,Mont-de-Marsan
1.5,275,90,85,15,Naituvi,,11,Mont-de-Marsan
1.5,195,90,85,110,Mensa,,12,Mont-de-Marsan
1.5,100,90,85,205,Wakaya,,13,Mont-de-Marsan
1.5,25,90,85,300,Bento,,14,Mont-de-Marsan
1.5,150,50,40,155,Laousse-Azpiazu,,15,Mont-de-Marsan
1.5,45,315,355,265,Tartas,,1,Colomiers
1.5,150,315,355,155,Larrieu,,2,Colomiers
1.5,250,315,355,50,Palma-Newport,,3,Colomiers
1.5,200,360,405,200,Ricard,,4,Colomiers
1.5,100,360,405,110,Chartier,,5,Colomiers
1.5,45,405,450,279,Coletta,(C),6,Colomiers
1.5,250,405,450,35,Dastugue,,7,Colomiers
1.5,150,405,450,155,Chateau,,8,Colomiers
1.5,90,450,500,240,Seguela,,9,Colomiers
1.5,205,450,500,75,Javaux,,10,Colomiers
1.5,25,495,545,300,Pimienta,,11,Colomiers
1.5,105,495,545,205,Nicot,,12,Colomiers
1.5,200,495,545,110,Maurino,,13,Colomiers
1.5,275,495,545,15,Rokoduguni,,14,Colomiers
1.5,150,535,590,155,Palisson,,15,Colomiers
