picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Muzzio,,1,Mont-de-Marsan
1.5,150,270,275,155,Gonzalez,,2,Mont-de-Marsan
1.5,45,270,275,265,Alves,,3,Mont-de-Marsan
1.5,200,225,225,110,Durand,,4,Mont-de-Marsan
1.5,100,225,225,200,Cedaro,,5,Mont-de-Marsan
1.5,250,180,185,35,Brethous,,6,Mont-de-Marsan
1.5,45,180,185,279,Wavrin,,7,Mont-de-Marsan
1.5,150,180,185,155,Faleafa,,8,Mont-de-Marsan
1.5,205,135,135,75,Coly,,9,Mont-de-Marsan
1.5,90,135,135,240,"Du Plessis",(C),10,Mont-de-Marsan
1.5,275,90,85,15,Naituvi,,11,Mont-de-Marsan
1.5,195,90,85,110,Mensa,,12,Mont-de-Marsan
1.5,100,90,85,205,Goneva,,13,Mont-de-Marsan
1.5,25,90,85,300,"De Nardi",,14,Mont-de-Marsan
1.5,150,50,40,155,Laousse-Azpiazu,,15,Mont-de-Marsan
1.5,45,315,355,265,Raynaud,(C),1,Oyonnax
1.5,150,315,355,155,Geledan,,2,Oyonnax
1.5,250,315,355,50,Laclayat,,3,Oyonnax
1.5,200,360,405,200,Battye,,4,Oyonnax
1.5,100,360,405,110,Leindekar,,5,Oyonnax
1.5,45,405,450,279,Taies,,6,Oyonnax
1.5,250,405,450,35,Zegueur,,7,Oyonnax
1.5,150,405,450,155,Credoz,,8,Oyonnax
1.5,90,450,500,240,Cassan,,9,Oyonnax
1.5,205,450,500,75,Soulan,,10,Oyonnax
1.5,25,495,545,300,Paris,,11,Oyonnax
1.5,105,495,545,205,Millet,,12,Oyonnax
1.5,200,495,545,110,Vialelle,,13,Oyonnax
1.5,275,495,545,15,Sanday,,14,Oyonnax
1.5,150,535,590,155,Callandret,,15,Oyonnax
