picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Seyrolle,,1,Montauban
1.5,150,270,275,155,Deligny,,2,Montauban
1.5,45,270,275,265,Burduli,,3,Montauban
1.5,200,225,225,110,Gimeno,,4,Montauban
1.5,100,225,225,200,Paulino,,5,Montauban
1.5,250,180,185,35,Quercy,(C),6,Montauban
1.5,45,180,185,279,Witt,,7,Montauban
1.5,150,180,185,155,Giorgadze,,8,Montauban
1.5,205,135,135,75,Venter,,9,Montauban
1.5,90,135,135,240,Bosviel,,10,Montauban
1.5,275,90,85,15,Guillemin,,11,Montauban
1.5,195,90,85,110,Mathy,,12,Montauban
1.5,100,90,85,205,Bonnefond,,13,Montauban
1.5,25,90,85,300,Vici,,14,Montauban
1.5,150,50,40,155,Tuculet,,15,Montauban
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Hamadache,,3,Agen
1.5,200,360,405,200,Maksymiw,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Duputs,,6,Agen
1.5,250,405,450,35,Olmstead,,7,Agen
1.5,150,405,450,155,Devergie,,8,Agen
1.5,90,450,500,240,Takulua,,9,Agen
1.5,205,450,500,75,Lagarde,(C),10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Belan,,13,Agen
1.5,275,495,545,15,Joseph,,14,Agen
1.5,150,535,590,155,Buttin,,15,Agen
