picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tufele,,1,Montauban
1.5,150,270,275,155,Firmin,,2,Montauban
1.5,45,270,275,265,Burduli,,3,Montauban
1.5,200,225,225,110,Malafosse,,4,Montauban
1.5,100,225,225,200,Paulino,,5,Montauban
1.5,250,180,185,35,"Quercy ",(C),6,Montauban
1.5,45,180,185,279,Uanivi,,7,Montauban
1.5,150,180,185,155,Meafua,,8,Montauban
1.5,205,135,135,75,Stirzaker,,9,Montauban
1.5,90,135,135,240,Pourteau,,10,Montauban
1.5,275,90,85,15,"Le Gall",,11,Montauban
1.5,195,90,85,110,Tupuola,,12,Montauban
1.5,100,90,85,205,Vici,,13,Montauban
1.5,25,90,85,300,Matawalu,,14,Montauban
1.5,150,50,40,155,Tuculet,,15,Montauban
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Ulugia,,2,Bayonne
1.5,250,315,355,50,Mousset,,3,Bayonne
1.5,200,360,405,200,Galarza,(C),4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Amosa,,6,Bayonne
1.5,250,405,450,35,Heguy,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Rouet,,9,Bayonne
1.5,205,450,500,75,Dolhagaray,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,Toeava,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Ravouvou,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
