picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Agnesi,,1,Montauban
1.5,150,270,275,155,Feltrin,,2,Montauban
1.5,45,270,275,265,Laval,,3,Montauban
1.5,200,225,225,110,Vaotoa,,4,Montauban
1.5,100,225,225,200,Manukula,,5,Montauban
1.5,250,180,185,35,Munoz,,6,Montauban
1.5,45,180,185,279,Uanivi,,7,Montauban
1.5,150,180,185,155,Quercy,(C),8,Montauban
1.5,205,135,135,75,Venter,,9,Montauban
1.5,90,135,135,240,Bosviel,,10,Montauban
1.5,275,90,85,15,Guillemin,,11,Montauban
1.5,195,90,85,110,Tupuola,,12,Montauban
1.5,100,90,85,205,Mathy,,13,Montauban
1.5,25,90,85,300,Vici,,14,Montauban
1.5,150,50,40,155,Tuculet,,15,Montauban
1.5,45,315,355,265,Millar,(C),1,Biarritz
1.5,150,315,355,155,Sauveterre,,2,Biarritz
1.5,250,315,355,50,Tchelidze,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,Francoz,,6,Biarritz
1.5,250,405,450,35,Dixon,,7,Biarritz
1.5,150,405,450,155,Jalagonia,,8,Biarritz
1.5,90,450,500,240,Aurrekoetxea,,9,Biarritz
1.5,205,450,500,75,Germain,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,Cadot,,12,Biarritz
1.5,200,495,545,110,Morgan,,13,Biarritz
1.5,275,495,545,15,Speight,,14,Biarritz
1.5,150,535,590,155,Jonas,,15,Biarritz
