picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Forletta,,1,Montpellier
1.5,150,270,275,155,Paenga-Amosa,,2,Montpellier
1.5,45,270,275,265,Haouas,,3,Montpellier
1.5,200,225,225,110,Capelli,,4,Montpellier
1.5,100,225,225,200,Willemse,,5,Montpellier
1.5,250,180,185,35,"Van Rensburg",,6,Montpellier
1.5,45,180,185,279,Dakuwaqa,,7,Montpellier
1.5,150,180,185,155,Bécognée,,8,Montpellier
1.5,205,135,135,75,Aprasidze,,9,Montpellier
1.5,90,135,135,240,Foursans,,10,Montpellier
1.5,275,90,85,15,Ngandebe,,11,Montpellier
1.5,195,90,85,110,Darmon,,12,Montpellier
1.5,100,90,85,205,Reilhac,,13,Montpellier
1.5,25,90,85,300,Rattez,,14,Montpellier
1.5,150,50,40,155,Tisseron,,15,Montpellier
1.5,45,315,355,265,Erdocio,,1,Biarritz
1.5,150,315,355,155,Peyresblanques,(C),2,Biarritz
1.5,250,315,355,50,"El Fakir",,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Olmstead,,5,Biarritz
1.5,45,405,450,279,"O\'Callaghan",,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Dixon,,8,Biarritz
1.5,90,450,500,240,Cubelli,,9,Biarritz
1.5,205,450,500,75,Bosch,,10,Biarritz
1.5,25,495,545,300,Artru,,11,Biarritz
1.5,105,495,545,205,Vergnaud,,12,Biarritz
1.5,200,495,545,110,Plessis-Couillaud,,13,Biarritz
1.5,275,495,545,15,Barry,,14,Biarritz
1.5,150,535,590,155,Lucu,,15,Biarritz
