picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Fichten,,1,Montpellier
1.5,150,270,275,155,Maurouard,,2,Montpellier
1.5,45,270,275,265,Lamositele,,3,Montpellier
1.5,200,225,225,110,Verhaeghe,,4,Montpellier
1.5,100,225,225,200,Chalureau,,5,Montpellier
1.5,250,180,185,35,Ouedraogo,(C),6,Montpellier
1.5,45,180,185,279,Bécognée,,7,Montpellier
1.5,150,180,185,155,Mercer,,8,Montpellier
1.5,205,135,135,75,Doan,,9,Montpellier
1.5,90,135,135,240,Garbisi,,10,Montpellier
1.5,275,90,85,15,Rattez,,11,Montpellier
1.5,195,90,85,110,Serfontein,,12,Montpellier
1.5,100,90,85,205,Doumayrou,,13,Montpellier
1.5,25,90,85,300,Vincent,,14,Montpellier
1.5,150,50,40,155,Bouthier,,15,Montpellier
1.5,45,315,355,265,Wardi,,1,"La Rochelle"
1.5,150,315,355,155,Bourgarit,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Sazy,,4,"La Rochelle"
1.5,100,360,405,110,Picquette,,5,"La Rochelle"
1.5,45,405,450,279,Bourdeau,,6,"La Rochelle"
1.5,250,405,450,35,Gourdon,,7,"La Rochelle"
1.5,150,405,450,155,Alldritt,(C),8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Popelin,,10,"La Rochelle"
1.5,25,495,545,300,Rhule,,11,"La Rochelle"
1.5,105,495,545,205,Botia,,12,"La Rochelle"
1.5,200,495,545,110,Buliruarua,,13,"La Rochelle"
1.5,275,495,545,15,Favre,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
