picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Chauvac,,1,Montpellier
1.5,150,270,275,155,Giudicelli,,2,Montpellier
1.5,45,270,275,265,Haouas,,3,Montpellier
1.5,200,225,225,110,"Van Rensburg",,4,Montpellier
1.5,100,225,225,200,Duguid,,5,Montpellier
1.5,250,180,185,35,Dakuwaqa,,6,Montpellier
1.5,45,180,185,279,Camara,(C),7,Montpellier
1.5,150,180,185,155,Tauleigne,,8,Montpellier
1.5,205,135,135,75,Coly,,9,Montpellier
1.5,90,135,135,240,Foursans,,10,Montpellier
1.5,275,90,85,15,Rattez,,11,Montpellier
1.5,195,90,85,110,Garbisi,,12,Montpellier
1.5,100,90,85,205,Darmon,,13,Montpellier
1.5,25,90,85,300,Ngandebe,,14,Montpellier
1.5,150,50,40,155,Bouthier,,15,Montpellier
1.5,45,315,355,265,"Fisi ihoi",,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Corato,,3,Pau
1.5,200,360,405,200,Cummins,,4,Pau
1.5,100,360,405,110,Capelli,,5,Pau
1.5,45,405,450,279,Zégueur,,6,Pau
1.5,250,405,450,35,Puech,,7,Pau
1.5,150,405,450,155,Whitelock,,8,Pau
1.5,90,450,500,240,Daubagna,(C),9,Pau
1.5,205,450,500,75,Debaes,,10,Pau
1.5,25,495,545,300,Colombet,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Gailleton,,13,Pau
1.5,275,495,545,15,Carol,,14,Pau
1.5,150,535,590,155,Maddocks,,15,Pau
