picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Moïse,,1,Narbonne
1.5,150,270,275,155,Blanc,,2,Narbonne
1.5,45,270,275,265,Cotet,,3,Narbonne
1.5,200,225,225,110,Plaza,,4,Narbonne
1.5,100,225,225,200,Visser,,5,Narbonne
1.5,250,180,185,35,Sese,,6,Narbonne
1.5,45,180,185,279,Fortuin,,7,Narbonne
1.5,150,180,185,155,Axtens,,8,Narbonne
1.5,205,135,135,75,Campbell,,9,Narbonne
1.5,90,135,135,240,Robertson,,10,Narbonne
1.5,275,90,85,15,Mias,,11,Narbonne
1.5,195,90,85,110,Fekitoa,(C),12,Narbonne
1.5,100,90,85,205,Maraku,,13,Narbonne
1.5,25,90,85,300,Justes,,14,Narbonne
1.5,150,50,40,155,Taulagi,,15,Narbonne
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Ryan,,3,Agen
1.5,200,360,405,200,Maravat,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Farré,(C),6,Agen
1.5,250,405,450,35,Devergie,,7,Agen
1.5,150,405,450,155,Duputs,,8,Agen
1.5,90,450,500,240,Graou,,9,Agen
1.5,205,450,500,75,Gerber,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Sloan,,12,Agen
1.5,200,495,545,110,Ramoka,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
