picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Abadie,,1,Narbonne
1.5,150,270,275,155,David,,2,Narbonne
1.5,45,270,275,265,Boughanmi,,3,Narbonne
1.5,200,225,225,110,Sese,,4,Narbonne
1.5,100,225,225,200,Visser,,5,Narbonne
1.5,250,180,185,35,Belzons,(C),6,Narbonne
1.5,45,180,185,279,Madaule,,7,Narbonne
1.5,150,180,185,155,Axtens,,8,Narbonne
1.5,205,135,135,75,Chaput,,9,Narbonne
1.5,90,135,135,240,Meret,,10,Narbonne
1.5,275,90,85,15,Totovosau,,11,Narbonne
1.5,195,90,85,110,Lebraud,,12,Narbonne
1.5,100,90,85,205,Nueno,,13,Narbonne
1.5,25,90,85,300,Sitauti,,14,Narbonne
1.5,150,50,40,155,Goutard,,15,Narbonne
1.5,45,315,355,265,Bultel,,1,Mont-de-Marsan
1.5,150,315,355,155,Latterrade,,2,Mont-de-Marsan
1.5,250,315,355,50,Alves,,3,Mont-de-Marsan
1.5,200,360,405,200,Hezard,(C),4,Mont-de-Marsan
1.5,100,360,405,110,Cedaro,,5,Mont-de-Marsan
1.5,45,405,450,279,Banos,,6,Mont-de-Marsan
1.5,250,405,450,35,Garrault,,7,Mont-de-Marsan
1.5,150,405,450,155,Lisena,,8,Mont-de-Marsan
1.5,90,450,500,240,Coly,,9,Mont-de-Marsan
1.5,205,450,500,75,"Du Plessis",,10,Mont-de-Marsan
1.5,25,495,545,300,Naituvi,,11,Mont-de-Marsan
1.5,105,495,545,205,Mensa,,12,Mont-de-Marsan
1.5,200,495,545,110,Wakaya,,13,Mont-de-Marsan
1.5,275,495,545,15,"De Nardi",,14,Mont-de-Marsan
1.5,150,535,590,155,Laousse-Azpiazu,,15,Mont-de-Marsan
