picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Mataradze,,1,Nevers
1.5,150,270,275,155,Hamel,,2,Nevers
1.5,45,270,275,265,Mudariki,,3,Nevers
1.5,200,225,225,110,Fabrègue,,4,Nevers
1.5,100,225,225,200,"Ceyte (cap.)",,5,Nevers
1.5,250,180,185,35,Plataret,,6,Nevers
1.5,45,180,185,279,Cotte,,7,Nevers
1.5,150,180,185,155,Fraser,,8,Nevers
1.5,205,135,135,75,Cazenave,,9,Nevers
1.5,90,135,135,240,Reynolds,,10,Nevers
1.5,275,90,85,15,Ambadiang,,11,Nevers
1.5,195,90,85,110,Derrieux,,12,Nevers
1.5,100,90,85,205,Paris,,13,Nevers
1.5,25,90,85,300,Charlat,,14,Nevers
1.5,150,50,40,155,Jaminet,,15,Nevers
1.5,45,315,355,265,Duprat,,1,Agen
1.5,150,315,355,155,Zarantonello,,2,Agen
1.5,250,315,355,50,Ryan,,3,Agen
1.5,200,360,405,200,Vernet,,4,Agen
1.5,100,360,405,110,Farrance,,5,Agen
1.5,45,405,450,279,Farré,(C),6,Agen
1.5,250,405,450,35,Duputs,,7,Agen
1.5,150,405,450,155,Devergie,,8,Agen
1.5,90,450,500,240,Idjellidaine,,9,Agen
1.5,205,450,500,75,Lagarde,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Reid,,12,Agen
1.5,200,495,545,110,Ramoka,,13,Agen
1.5,275,495,545,15,Gauban,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
