picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Mataradze,,1,Nevers
1.5,150,270,275,155,Hamel,,2,Nevers
1.5,45,270,275,265,Mudariki,,3,Nevers
1.5,200,225,225,110,Barjaud,,4,Nevers
1.5,100,225,225,200,Ceyte,(C),5,Nevers
1.5,250,180,185,35,Bastide,,6,Nevers
1.5,45,180,185,279,Kazubek,,7,Nevers
1.5,150,180,185,155,Adendorff,,8,Nevers
1.5,205,135,135,75,Cazenave,,9,Nevers
1.5,90,135,135,240,Reynolds,,10,Nevers
1.5,275,90,85,15,Camou,,11,Nevers
1.5,195,90,85,110,Derrieux,,12,Nevers
1.5,100,90,85,205,Silago,,13,Nevers
1.5,25,90,85,300,Charlat,,14,Nevers
1.5,150,50,40,155,Jaminet,,15,Nevers
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Ulugia,,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Usarraga,,4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Taofifenua,,6,Bayonne
1.5,250,405,450,35,Marchois,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Rouet,(C),9,Bayonne
1.5,205,450,500,75,Dolhagarray,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,David,,12,Bayonne
1.5,200,495,545,110,Lestrade,,13,Bayonne
1.5,275,495,545,15,Maqala,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
