picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Kitutu,,1,Nevers
1.5,150,270,275,155,Hamel,,2,Nevers
1.5,45,270,275,265,Ikahehegi,,3,Nevers
1.5,200,225,225,110,Barjaud,,4,Nevers
1.5,100,225,225,200,Jaiani,,5,Nevers
1.5,250,180,185,35,Plataret,,6,Nevers
1.5,45,180,185,279,David,,7,Nevers
1.5,150,180,185,155,Bastide,,8,Nevers
1.5,205,135,135,75,Manevy,,9,Nevers
1.5,90,135,135,240,Reynolds,,10,Nevers
1.5,275,90,85,15,Ambadiang,,11,Nevers
1.5,195,90,85,110,Derrieux,(C),12,Nevers
1.5,100,90,85,205,Loaloa,,13,Nevers
1.5,25,90,85,300,Blanc,,14,Nevers
1.5,150,50,40,155,Jaminet,,15,Nevers
1.5,45,315,355,265,Millar,(C),1,Biarritz
1.5,150,315,355,155,Sauveterre,,2,Biarritz
1.5,250,315,355,50,Tchelidze,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,Hébert,,6,Biarritz
1.5,250,405,450,35,Francoz,,7,Biarritz
1.5,150,405,450,155,Dixon,,8,Biarritz
1.5,90,450,500,240,Couilloud,,9,Biarritz
1.5,205,450,500,75,Herron,,10,Biarritz
1.5,25,495,545,300,Artru,,11,Biarritz
1.5,105,495,545,205,Cadot,,12,Biarritz
1.5,200,495,545,110,Morgan,,13,Biarritz
1.5,275,495,545,15,Speight,,14,Biarritz
1.5,150,535,590,155,Jonas,,15,Biarritz
