picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Raynaud,(C),1,Oyonnax
1.5,150,270,275,155,Geledan,,2,Oyonnax
1.5,45,270,275,265,Laclayat,,3,Oyonnax
1.5,200,225,225,110,Battye,,4,Oyonnax
1.5,100,225,225,200,Murday,,5,Oyonnax
1.5,250,180,185,35,Lebreton,,6,Oyonnax
1.5,45,180,185,279,Credoz,,7,Oyonnax
1.5,150,180,185,155,Grice,,8,Oyonnax
1.5,205,135,135,75,Cassang,,9,Oyonnax
1.5,90,135,135,240,"Le Bourhis",,10,Oyonnax
1.5,275,90,85,15,Paris,,11,Oyonnax
1.5,195,90,85,110,Lovobalavu,,12,Oyonnax
1.5,100,90,85,205,Bettencourt,,13,Oyonnax
1.5,25,90,85,300,Sweetnam,,14,Oyonnax
1.5,150,50,40,155,Callandret,,15,Oyonnax
1.5,45,315,355,265,Duprat,,1,Agen
1.5,150,315,355,155,Barka,,2,Agen
1.5,250,315,355,50,Burin,,3,Agen
1.5,200,360,405,200,Maravat,,4,Agen
1.5,100,360,405,110,Farrance,,5,Agen
1.5,45,405,450,279,Hocquet,,6,Agen
1.5,250,405,450,35,Gérondeau,(C),7,Agen
1.5,150,405,450,155,Bonnet,,8,Agen
1.5,90,450,500,240,Idjellidaine,,9,Agen
1.5,205,450,500,75,Dayral,,10,Agen
1.5,25,495,545,300,Nalaga,,11,Agen
1.5,105,495,545,205,Garrigues,,12,Agen
1.5,200,495,545,110,Gailleton,,13,Agen
1.5,275,495,545,15,Joseph,,14,Agen
1.5,150,535,590,155,Gauban,,15,Agen
