picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Calles,,1,Pau
1.5,150,270,275,155,Delhommel,,2,Pau
1.5,45,270,275,265,Tokolahi,,3,Pau
1.5,200,225,225,110,Ducat,,4,Pau
1.5,100,225,225,200,Metz,,5,Pau
1.5,250,180,185,35,Zegueur,,6,Pau
1.5,45,180,185,279,Whitelock,,7,Pau
1.5,150,180,185,155,Joseph,,8,Pau
1.5,205,135,135,75,Daubagna,(C),9,Pau
1.5,90,135,135,240,Debaes,,10,Pau
1.5,275,90,85,15,Laporte,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Ikpefan,,14,Pau
1.5,150,50,40,155,Maddocks,,15,Pau
1.5,45,315,355,265,Kaulashvili,,1,Bordeaux-Bègles
1.5,150,315,355,155,Dimcheff,,2,Bordeaux-Bègles
1.5,250,315,355,50,Cobilas,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Roussel,,5,Bordeaux-Bègles
1.5,45,405,450,279,Bochaton,,6,Bordeaux-Bègles
1.5,250,405,450,35,Diaby,(C),7,Bordeaux-Bègles
1.5,150,405,450,155,Timu,,8,Bordeaux-Bègles
1.5,90,450,500,240,Gimbert,,9,Bordeaux-Bègles
1.5,205,450,500,75,Holmes,,10,Bordeaux-Bègles
1.5,25,495,545,300,Tambwe,,11,Bordeaux-Bègles
1.5,105,495,545,205,Mori,,12,Bordeaux-Bègles
1.5,200,495,545,110,Vili,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cros,,14,Bordeaux-Bègles
1.5,150,535,590,155,Bielle-Biarrey,,15,Bordeaux-Bègles
