picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Ramsay,,4,Pau
1.5,100,225,225,200,Metz,,5,Pau
1.5,250,180,185,35,Gorgadze,,6,Pau
1.5,45,180,185,279,Joseph,,7,Pau
1.5,150,180,185,155,Whitelock,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Tuimaba,,11,Pau
1.5,195,90,85,110,Decron,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Pinto,,14,Pau
1.5,150,50,40,155,Colombet,,15,Pau
1.5,45,315,355,265,Chauvac,,1,Brive
1.5,150,315,355,155,Acquier,,2,Brive
1.5,250,315,355,50,Japaridze,,3,Brive
1.5,200,360,405,200,Paulos,,4,Brive
1.5,100,360,405,110,Ratuva,,5,Brive
1.5,45,405,450,279,"E. Abadie",,6,Brive
1.5,250,405,450,35,Hirèche,(C),7,Brive
1.5,150,405,450,155,Marais,,8,Brive
1.5,90,450,500,240,Lobzhanidze,,9,Brive
1.5,205,450,500,75,Hervé,,10,Brive
1.5,25,495,545,300,Muller,,11,Brive
1.5,105,495,545,205,Lee,,12,Brive
1.5,200,495,545,110,Galala,,13,Brive
1.5,275,495,545,15,Tuicuvu,,14,Brive
1.5,150,535,590,155,Jurand,,15,Brive
