picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi ihoi",,1,Pau
1.5,150,270,275,155,"Rey ",(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Tagitagivalu,,4,Pau
1.5,100,225,225,200,Cummins,,5,Pau
1.5,250,180,185,35,Gorgadze,,6,Pau
1.5,45,180,185,279,Whitelock,,7,Pau
1.5,150,180,185,155,"Joseph/Habel Küffner",,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Debaes,,10,Pau
1.5,275,90,85,15,tuimaba,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Ikpefan/Pinto,,14,Pau
1.5,150,50,40,155,Colombet,,15,Pau
1.5,45,315,355,265,Ravai,,1,Clermont
1.5,150,315,355,155,Beheregaray,,2,Clermont
1.5,250,315,355,50,Ojovan,,3,Clermont
1.5,200,360,405,200,Lavanini,,4,Clermont
1.5,100,360,405,110,Vahaamahina,,5,Clermont
1.5,45,405,450,279,Iturria,(C),6,Clermont
1.5,250,405,450,35,Lee,,7,Clermont
1.5,150,405,450,155,Cancoriet/Dessaigne,,8,Clermont
1.5,90,450,500,240,Bézy,,9,Clermont
1.5,205,450,500,75,Lopez,,10,Clermont
1.5,25,495,545,300,Raka,,11,Clermont
1.5,105,495,545,205,Barraque,,12,Clermont
1.5,200,495,545,110,Naqalevu/Vili,,13,Clermont
1.5,275,495,545,15,"O Connor",,14,Clermont
1.5,150,535,590,155,Tiberghien/Matsushima,,15,Clermont
