picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Tokolahi,,3,Pau
1.5,200,225,225,110,Ducat,,4,Pau
1.5,100,225,225,200,Metz,,5,Pau
1.5,250,180,185,35,Tagitagivalu,,6,Pau
1.5,45,180,185,279,Habel-Kuffner,,7,Pau
1.5,150,180,185,155,Whitelock,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Hastoy,,10,Pau
1.5,275,90,85,15,Ikpefan,,11,Pau
1.5,195,90,85,110,Decron,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Tuimaba,,14,Pau
1.5,150,50,40,155,"Le Bail",,15,Pau
1.5,45,315,355,265,Rey,,1,Lyon
1.5,150,315,355,155,Marchand,,2,Lyon
1.5,250,315,355,50,Chiocci,,3,Lyon
1.5,200,360,405,200,Goujon,,4,Lyon
1.5,100,360,405,110,"R. Taofifenua",,5,Lyon
1.5,45,405,450,279,Cretin,,6,Lyon
1.5,250,405,450,35,"Fainga\'a",,7,Lyon
1.5,150,405,450,155,Taufua,(C),8,Lyon
1.5,90,450,500,240,Pélissié,,9,Lyon
1.5,205,450,500,75,Berdeu,,10,Lyon
1.5,25,495,545,300,Dumortier,,11,Lyon
1.5,105,495,545,205,Ngatai,,12,Lyon
1.5,200,495,545,110,Barassi,,13,Lyon
1.5,275,495,545,15,Mignot,,14,Lyon
1.5,150,535,590,155,Arnold,,15,Lyon
