picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi\'ihoi",,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Cummins,,4,Pau
1.5,100,225,225,200,Delannoy,,5,Pau
1.5,250,180,185,35,Whitelock,,6,Pau
1.5,45,180,185,279,Habel-Kuffner,,7,Pau
1.5,150,180,185,155,Gorgadze,,8,Pau
1.5,205,135,135,75,Daubagna,,9,Pau
1.5,90,135,135,240,Henry,,10,Pau
1.5,275,90,85,15,Ikpefan,,11,Pau
1.5,195,90,85,110,Decron,,12,Pau
1.5,100,90,85,205,Manu,,13,Pau
1.5,25,90,85,300,Tuimaba,,14,Pau
1.5,150,50,40,155,Colombet,,15,Pau
1.5,45,315,355,265,Forletta,,1,Montpellier
1.5,150,315,355,155,Giudicelli,,2,Montpellier
1.5,250,315,355,50,Haouas,,3,Montpellier
1.5,200,360,405,200,Camara,,4,Montpellier
1.5,100,360,405,110,Chalureau,,5,Montpellier
1.5,45,405,450,279,Bécognée,,6,Montpellier
1.5,250,405,450,35,Tauleigne,,7,Montpellier
1.5,150,405,450,155,Dakuwaqa,,8,Montpellier
1.5,90,450,500,240,Doan,,9,Montpellier
1.5,205,450,500,75,Garbisi,,10,Montpellier
1.5,25,495,545,300,Lucas,,11,Montpellier
1.5,105,495,545,205,Serfontein,,12,Montpellier
1.5,200,495,545,110,Vincent,(C),13,Montpellier
1.5,275,495,545,15,Tisseron,,14,Montpellier
1.5,150,535,590,155,Bouthier,,15,Montpellier
