picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Fisi ihoi",,1,Pau
1.5,150,270,275,155,Rey,,2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Ducat,,4,Pau
1.5,100,225,225,200,Capelli,,5,Pau
1.5,250,180,185,35,Hewat,,6,Pau
1.5,45,180,185,279,Whitelock,,7,Pau
1.5,150,180,185,155,Gorgadze,(C),8,Pau
1.5,205,135,135,75,Daubagna,,9,Pau
1.5,90,135,135,240,Henry,,10,Pau
1.5,275,90,85,15,Colombet,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Roudil,,13,Pau
1.5,25,90,85,300,Carol,,14,Pau
1.5,150,50,40,155,Laporte,,15,Pau
1.5,45,315,355,265,Chiocci,,1,Perpignan
1.5,150,315,355,155,Tadjer,,2,Perpignan
1.5,250,315,355,50,Halanukonuka,,3,Perpignan
1.5,200,360,405,200,Labouteley,,4,Perpignan
1.5,100,360,405,110,Faasalele,,5,Perpignan
1.5,45,405,450,279,Bachelier,,6,Perpignan
1.5,250,405,450,35,Brazo,,7,Perpignan
1.5,150,405,450,155,"Mamea Lemalu",,8,Perpignan
1.5,90,450,500,240,Ecochard,,9,Perpignan
1.5,205,450,500,75,Tedder,,10,Perpignan
1.5,25,495,545,300,Acebes,(C),11,Perpignan
1.5,105,495,545,205,Tilsley,,12,Perpignan
1.5,200,495,545,110,Taumeoepeau,,13,Perpignan
1.5,275,495,545,15,Duguivalu,,14,Perpignan
1.5,150,535,590,155,Dubois,,15,Perpignan
