picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Seneca,,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Corato,,3,Pau
1.5,200,225,225,110,Cummins,,4,Pau
1.5,100,225,225,200,Tagitagivalu,,5,Pau
1.5,250,180,185,35,Gorgadze,,6,Pau
1.5,45,180,185,279,Hewat,,7,Pau
1.5,150,180,185,155,Habel-Küffner,,8,Pau
1.5,205,135,135,75,Daubagna,,9,Pau
1.5,90,135,135,240,Henry,,10,Pau
1.5,275,90,85,15,Pinto,,11,Pau
1.5,195,90,85,110,Vatubua,,12,Pau
1.5,100,90,85,205,Zanon,,13,Pau
1.5,25,90,85,300,Barrett,,14,Pau
1.5,150,50,40,155,Hastoy,,15,Pau
1.5,45,315,355,265,Gogichashvili,,1,"Racing 92"
1.5,150,315,355,155,Baubigny,,2,"Racing 92"
1.5,250,315,355,50,Nyakane,,3,"Racing 92"
1.5,200,360,405,200,"Le Roux",,4,"Racing 92"
1.5,100,360,405,110,Pesenti,,5,"Racing 92"
1.5,45,405,450,279,Diallo,,6,"Racing 92"
1.5,250,405,450,35,Chouzenoux,,7,"Racing 92"
1.5,150,405,450,155,Hemery,,8,"Racing 92"
1.5,90,450,500,240,Machenaud,,9,"Racing 92"
1.5,205,450,500,75,Russell,,10,"Racing 92"
1.5,25,495,545,300,Imhoff,,11,"Racing 92"
1.5,105,495,545,205,Chavancy,(C),12,"Racing 92"
1.5,200,495,545,110,Vakatawa,,13,"Racing 92"
1.5,275,495,545,15,"D. Taofifenua",,14,"Racing 92"
1.5,150,535,590,155,Spring,,15,"Racing 92"
