picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Sénéca,,1,Pau
1.5,150,270,275,155,Rey,(C),2,Pau
1.5,45,270,275,265,Papidze,,3,Pau
1.5,200,225,225,110,Ducat,,4,Pau
1.5,100,225,225,200,Tagitagivalu,,5,Pau
1.5,250,180,185,35,Zégueur,,6,Pau
1.5,45,180,185,279,Whitelock,,7,Pau
1.5,150,180,185,155,Gorgadze,,8,Pau
1.5,205,135,135,75,"Le Bail",,9,Pau
1.5,90,135,135,240,Henry,,10,Pau
1.5,275,90,85,15,Barrett,,11,Pau
1.5,195,90,85,110,Manu,,12,Pau
1.5,100,90,85,205,Gailleton,,13,Pau
1.5,25,90,85,300,Colombet,,14,Pau
1.5,150,50,40,155,Laporte,,15,Pau
1.5,45,315,355,265,Gros,,1,Toulon
1.5,150,315,355,155,Etrillard,,2,Toulon
1.5,250,315,355,50,Gigashvili,,3,Toulon
1.5,200,360,405,200,Rebbadj,,4,Toulon
1.5,100,360,405,110,"Alainu Uese",,5,Toulon
1.5,45,405,450,279,"Du Preez",,6,Toulon
1.5,250,405,450,35,Ollivon,(C),7,Toulon
1.5,150,405,450,155,Isa,,8,Toulon
1.5,90,450,500,240,Paillaugue,,9,Toulon
1.5,205,450,500,75,West,,10,Toulon
1.5,25,495,545,300,Wainiqolo,,11,Toulon
1.5,105,495,545,205,Sinzelle,,12,Toulon
1.5,200,495,545,110,Nayacalevu,,13,Toulon
1.5,275,495,545,15,Cordin,,14,Toulon
1.5,150,535,590,155,Salles,,15,Toulon
