picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,a,(C),1,Perpignan
1.5,150,270,275,155,b,,2,Perpignan
1.5,45,270,275,265,b,,3,Perpignan
1.5,200,225,225,110,n,,4,Perpignan
1.5,100,225,225,200,n,,5,Perpignan
1.5,250,180,185,35,n,,6,Perpignan
1.5,45,180,185,279,z,,7,Perpignan
1.5,150,180,185,155,zer,,8,Perpignan
1.5,205,135,135,75,zer,,9,Perpignan
1.5,90,135,135,240,zer,,10,Perpignan
1.5,275,90,85,15,rzr,,11,Perpignan
1.5,195,90,85,110,ghyr,,12,Perpignan
1.5,100,90,85,205,dfgdfg,,13,Perpignan
1.5,25,90,85,300,erterte,,14,Perpignan
1.5,150,50,40,155,eterter,,15,Perpignan
1.5,45,315,355,265,tert,,1,Toulon
1.5,150,315,355,155,ertert,,2,Toulon
1.5,250,315,355,50,ertertter,,3,Toulon
1.5,200,360,405,200,tyutyutyu,,4,Toulon
1.5,100,360,405,110,dfgdfgdfg,,5,Toulon
1.5,45,405,450,279,uiouio,,6,Toulon
1.5,250,405,450,35,yrytr,,7,Toulon
1.5,150,405,450,155,htrtr,,8,Toulon
1.5,90,450,500,240,rytr,,9,Toulon
1.5,205,450,500,75,ett,,10,Toulon
1.5,25,495,545,300,ertet,,11,Toulon
1.5,105,495,545,205,tgrtyry,,12,Toulon
1.5,200,495,545,110,ytryrty,,13,Toulon
1.5,275,495,545,15,ytryryr,(C),14,Toulon
1.5,150,535,590,155,ytryry,,15,Toulon
