picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Ben Arous",,1,"Racing 92"
1.5,150,270,275,155,Baubigny,(C),2,"Racing 92"
1.5,45,270,275,265,"Gomes Sa",,3,"Racing 92"
1.5,200,225,225,110,Pesenti,,4,"Racing 92"
1.5,100,225,225,200,Bresler,,5,"Racing 92"
1.5,250,180,185,35,Hemery,,6,"Racing 92"
1.5,45,180,185,279,Diallo,,7,"Racing 92"
1.5,150,180,185,155,Tanga,,8,"Racing 92"
1.5,205,135,135,75,"Le Garrec",,9,"Racing 92"
1.5,90,135,135,240,Gibert,,10,"Racing 92"
1.5,275,90,85,15,"D. Taofifenua",,11,"Racing 92"
1.5,195,90,85,110,Vakatawa,,12,"Racing 92"
1.5,100,90,85,205,Klemenczak,,13,"Racing 92"
1.5,25,90,85,300,Thomas,,14,"Racing 92"
1.5,150,50,40,155,Volavola,,15,"Racing 92"
1.5,45,315,355,265,Erdocio,,1,Biarritz
1.5,150,315,355,155,Peyresblanques,(C),2,Biarritz
1.5,250,315,355,50,"El Fakir",,3,Biarritz
1.5,200,360,405,200,Gimeno,,4,Biarritz
1.5,100,360,405,110,Dyer,,5,Biarritz
1.5,45,405,450,279,"O\'Callaghan",,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Dixon,,8,Biarritz
1.5,90,450,500,240,Couilloud,,9,Biarritz
1.5,205,450,500,75,Bosch,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,"Saili ",,12,Biarritz
1.5,200,495,545,110,Kuridrani,,13,Biarritz
1.5,275,495,545,15,Domvo,,14,Biarritz
1.5,150,535,590,155,"X. Lucu",,15,Biarritz
