picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,1,(C),1,"Racing 92"
1.5,150,270,275,155,2,,2,"Racing 92"
1.5,45,270,275,265,3,,3,"Racing 92"
1.5,200,225,225,110,4,,4,"Racing 92"
1.5,100,225,225,200,5,,5,"Racing 92"
1.5,250,180,185,35,6,,6,"Racing 92"
1.5,45,180,185,279,7,,7,"Racing 92"
1.5,150,180,185,155,8,,8,"Racing 92"
1.5,205,135,135,75,9,,9,"Racing 92"
1.5,90,135,135,240,12,,10,"Racing 92"
1.5,275,90,85,15,13,,11,"Racing 92"
1.5,195,90,85,110,14,,12,"Racing 92"
1.5,100,90,85,205,13,,13,"Racing 92"
1.5,25,90,85,300,15,,14,"Racing 92"
1.5,150,50,40,155,16,,15,"Racing 92"
1.5,45,315,355,265,A,,1,Montpellier
1.5,150,315,355,155,Z,,2,Montpellier
1.5,250,315,355,50,E,,3,Montpellier
1.5,200,360,405,200,R,,4,Montpellier
1.5,100,360,405,110,T,,5,Montpellier
1.5,45,405,450,279,Y,,6,Montpellier
1.5,250,405,450,35,U,(C),7,Montpellier
1.5,150,405,450,155,I,,8,Montpellier
1.5,90,450,500,240,O,,9,Montpellier
1.5,205,450,500,75,P,,10,Montpellier
1.5,25,495,545,300,Q,,11,Montpellier
1.5,105,495,545,205,S,,12,Montpellier
1.5,200,495,545,110,D,,13,Montpellier
1.5,275,495,545,15,F,,14,Montpellier
1.5,150,535,590,155,G,,15,Montpellier
