picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Kolingar,,1,"Racing 92"
1.5,150,270,275,155,Chat,,2,"Racing 92"
1.5,45,270,275,265,Nyakane,,3,"Racing 92"
1.5,200,225,225,110,Chouzenoux,,4,"Racing 92"
1.5,100,225,225,200,Palu,,5,"Racing 92"
1.5,250,180,185,35,Lauret,,6,"Racing 92"
1.5,45,180,185,279,Diallo,,7,"Racing 92"
1.5,150,180,185,155,Hemery,,8,"Racing 92"
1.5,205,135,135,75,"Le Garrec",,9,"Racing 92"
1.5,90,135,135,240,Russell,,10,"Racing 92"
1.5,275,90,85,15,Wade,,11,"Racing 92"
1.5,195,90,85,110,Fickou,(C),12,"Racing 92"
1.5,100,90,85,205,Saili,,13,"Racing 92"
1.5,25,90,85,300,"D. Taofifenua",,14,"Racing 92"
1.5,150,50,40,155,Gelant,,15,"Racing 92"
1.5,45,315,355,265,"Fisi\'ihoi",,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Corato,,3,Pau
1.5,200,360,405,200,Ducat,,4,Pau
1.5,100,360,405,110,Tagitagivalu,,5,Pau
1.5,45,405,450,279,Gorgadze,,6,Pau
1.5,250,405,450,35,Puech,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,Daubagna,,9,Pau
1.5,205,450,500,75,Debaes,,10,Pau
1.5,25,495,545,300,Barrett,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Reilhac,,13,Pau
1.5,275,495,545,15,Ikpefan,,14,Pau
1.5,150,535,590,155,Laporte,,15,Pau
