picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,1,,1,"Racing 92"
1.5,150,270,275,155,1,,2,"Racing 92"
1.5,45,270,275,265,1,,3,"Racing 92"
1.5,200,225,225,110,1,,4,"Racing 92"
1.5,100,225,225,200,1,,5,"Racing 92"
1.5,250,180,185,35,1,,6,"Racing 92"
1.5,45,180,185,279,1,,7,"Racing 92"
1.5,150,180,185,155,1,,8,"Racing 92"
1.5,205,135,135,75,1,,9,"Racing 92"
1.5,90,135,135,240,1,,10,"Racing 92"
1.5,275,90,85,15,1,,11,"Racing 92"
1.5,195,90,85,110,1,,12,"Racing 92"
1.5,100,90,85,205,1,,13,"Racing 92"
1.5,25,90,85,300,1,,14,"Racing 92"
1.5,150,50,40,155,1,,15,"Racing 92"
1.5,45,315,355,265,1,,1,"Stade Français"
1.5,150,315,355,155,1,,2,"Stade Français"
1.5,250,315,355,50,1,,3,"Stade Français"
1.5,200,360,405,200,1,,4,"Stade Français"
1.5,100,360,405,110,1,,5,"Stade Français"
1.5,45,405,450,279,1,,6,"Stade Français"
1.5,250,405,450,35,1,,7,"Stade Français"
1.5,150,405,450,155,1,,8,"Stade Français"
1.5,90,450,500,240,1,,9,"Stade Français"
1.5,205,450,500,75,1,,10,"Stade Français"
1.5,25,495,545,300,1,,11,"Stade Français"
1.5,105,495,545,205,1,,12,"Stade Français"
1.5,200,495,545,110,1,,13,"Stade Français"
1.5,275,495,545,15,1,,14,"Stade Français"
1.5,150,535,590,155,1,,15,"Stade Français"
