picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Fournier,,1,Rouen
1.5,150,270,275,155,Bonnot,(C),2,Rouen
1.5,45,270,275,265,"H. NDiaye",,3,Rouen
1.5,200,225,225,110,Leleu,,4,Rouen
1.5,100,225,225,200,Salmon,,5,Rouen
1.5,250,180,185,35,"W. NDiaye",,6,Rouen
1.5,45,180,185,279,Burger,,7,Rouen
1.5,150,180,185,155,Ruaud,,8,Rouen
1.5,205,135,135,75,Campeggia,,9,Rouen
1.5,90,135,135,240,Pourteau,,10,Rouen
1.5,275,90,85,15,Masilevu,,11,Rouen
1.5,195,90,85,110,Jackson,,12,Rouen
1.5,100,90,85,205,Peleseuma,,13,Rouen
1.5,25,90,85,300,Surano,,14,Rouen
1.5,150,50,40,155,Lydon,,15,Rouen
1.5,45,315,355,265,Barrington,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Hamadache,,3,Agen
1.5,200,360,405,200,Vernet,,4,Agen
1.5,100,360,405,110,Farrance,,5,Agen
1.5,45,405,450,279,Duputs,(C),6,Agen
1.5,250,405,450,35,Erbani,,7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,Idjellidaine,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Etcheverry,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Sloan,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Buttin,,15,Agen
